© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
TREM1	transmembrane receptor	1.866	1	Activated	 	2.714	5.84E-06	6.90E-03	TREM1	Ccl2,CD14,CEBPB,CXCL10,CXCL3,EGR2,IL1B,IL6R,NFKB2,NFKBIA,PGLYRP1	11 (1)	1	TICAM1	IFN alpha/beta,IL10RA,THRB,TREM2	 	CEBPB,IL1B,IL1R1,IL2	IL4	 	 	 	 	
C1QTNF1	other	0.022	2	 	 	-0.333	6.36E-06	2.80E-03	ACACA,C1QTNF1,PRKAA	ACACB,ACLY,Ccl2,CXCL10,ELOVL6,FASN,HSD11B1,IL1B,NOS2	9 (3)	3	 	 	 	 	ACACA,IL1B	 	 	 	 	
CEBPE	transcription regulator	0.982	1	Activated	 	2.333	6.36E-06	6.90E-03	CEBPE	CAMP,Ccl7,CD14,IL1RN,LCN2,LTF,MMP2,MMP8,NCF1	9 (1)	1	ELANE	MRTFA,MRTFB,SRF	 	MMP8	 	 	 	 	 	
SREBF2	transcription regulator	0.668	1	Activated	biased	2.333	6.36E-06	4.90E-03	SREBF2	ELOVL6,FASN,FDFT1,HMGCR,HMGCS1,INSIG1,LDLR,MVK,SREBF1	9 (1)	1	CASP1,DBI,NR1H2,NR1H3,PPARA,RPTOR,SCAP	ABCA1,ACACB,ATP1A1,ATP7B,CYP51A1,Gm35986,INSIG2,KLB,MFSD2A,NPC1,NPC1L1,Pde4,PDE8A,PEX5L,POR,SCARB1,SIRT6	 	LDLR	 	 	 	 	 	
IFT88	other	0.014	1	 	 	-1.897	6.54E-06	1.33E-02	IFT88	ACLY,CEBPB,CYP51A1,FABP4,FOXA2,HMGCR,HMGCS1,IDI1,LSS,MVD	10 (1)	1	 	 	 	ADIPOQ,CEBPB,PPARG	CYP51A1	 	 	 	 	
SRSF2	transcription regulator	-0.029	1	Inhibited	 	-2.530	6.54E-06	2.10E-03	SRSF2	AKR1D1,BAAT,CES1,FOXA2,HSD3B7,Nnt,PPARA,PPP1R15A,SREBF1,TNFRSF10A	10 (1)	1	 	 	 	NR1I3,PPARA	ATF4	 	 	 	 	
AMBP	transporter	0.001	1	 	 	-1.342	7.02E-06	8.00E-04	AMBP	Ccl2,CXCL2,CXCL3,IL1B,TNFRSF1A	5 (1)	1	HNF1A	 	 	TNFRSF1A	CXCL2,IL1B	 	 	 	 	
CCR5	G-protein coupled receptor	-0.033	1	 	 	0.832	8.01E-06	3.18E-02	CCR5	BAX,Ccl2,CCL3L3,CXCL10,CXCL12,CXCL2,CXCL3,FAS,IL1B,NOS2,SERPINA1,SLPI,TNFRSF1A	13 (1)	1	Brd4,CARD9,CD44,Hbb-b2,ID2,IL12 (complex),IL13,OGA,PLAU,PPIF,RETNLB,STAT4,TNFSF12	APOE,EIF4E,INSIG1,Nr1h,PTX3,ZC3H12C	 	CCL5,CXCL2,TNFRSF1A	IL1B	 	 	 	 	
IL1R1	transmembrane receptor	0.413	1	 	 	0.832	8.01E-06	1.56E-02	IL1R1	CCL3L3,Ccl7,CXCL12,FOS,GFAP,ICAM1,IGF1,IL1B,IL1RAP,LBP,MMP2,SAA1,TIMP1	13 (1)	1	NR1I3,TREM1	 	 	IL12 (complex),IL1A,IL1B,MAPK3,P38 MAPK,PTGS2,SAA1	CCL5	 	 	 	 	
ADAM12	peptidase	0.105	1	 	 	0.000	9.48E-06	4.25E-02	ADAM12	ADAMTS15,AEBP1,Ccl2,Ccl7,CEBPB,COL5A2,COL5A3,CX3CL1,DCN,GDF15,IGFBP3,IGFBP5,JUNB,LAMA5,Nrg1,OLR1,PARM1,SERPINE1,SVEP1,VWF	20 (1)	1	TNFSF12	 	 	ADIPOQ,CEBPB,PPARG	IL33,VWF	 	 	 	 	
ACACB	enzyme	1.439	1	Inhibited	 	-2.121	1.01E-05	7.80E-03	ACACB	ACLY,FASN,HMGCR,MVD,PPARA,SLC2A4,SREBF1,SREBF2	8 (1)	1	ADIPOQ,Nr1h,SCAP	INSIG1,N-cor,NRIP1	 	PPARA,PRKCE	IDH1,SREBF2	 	 	 	 	
CCL5	cytokine	-0.006	1	Activated	biased	2.828	1.01E-05	2.20E-03	CCL5	CCL3L3,CCRL2,CXCL2,CXCL3,GFAP,IL1B,ITGAM,NOS2	8 (1)	1	AR,CARD11,CARD9,CCR5,CD44,CHUK,CSF1,FCGR2A,ID2,IFN alpha/beta,IFNG,IFNGR1,IKBKB,IKBKG,IL12B,IL13,MCOLN2,P38 MAPK,PARP14,PPIF,RETNLB,RIPK2,SAA1,STING1,TLR3,TNFRSF1A,TNFSF12,TRAF3IP3,TRPV4	ADIPOQ,APOE,C3AR1,IL10RA,IL1R1,IL2,INSIG1,N-cor,NFE2L2,Nr1h,NR1H3,PLA2G2E,PSMB11,PTX3,RNF31	 	IL1B	 	 	 	 	 	
CXCL2	cytokine	2.354	1	Activated	biased	2.828	1.01E-05	4.20E-03	CXCL2	Ccl2,CCL3L3,CXCL10,CXCL3,CXCR2,ICAM1,IL1B,ITGAM	8 (1)	1	C5AR1,CCR5,CHUK,CSF3,ELANE,F2RL1,FCGR2A,GATA2,IFNG,IKBKB,IKBKG,IL17RA,IL1A,IL33,IRAK2,NLRC4,NOD2,OGG1,OSM,PLCE1,PPIF,PTPRE,PTX3,RIPK2,SOCS6,SQSTM1,STAT4,STAT6,STING1,STK38,TGFA,TGIF1,TICAM1,TLR3,TNFRSF1A,TNFSF12,TRPV4	ADIPOQ,ADRB,ALOX15,Alpha catenin,AMBP,BCL3,BPIFA1,CASP1,CBL,CCL22,DUSP1,ENTPD1,FEM1A,IKBIP,INSIG1,N-cor,NFE2L2,PKD1,PON2,PPARG,PRKCI,PTAFR,RGMB,S100A8,THRB,TNIP1,TP73,TREM2,ZMPSTE24	 	P38 MAPK	 	 	 	 	 	
EGF	growth factor	-0.304	1	 	 	1.414	1.01E-05	3.90E-03	EGF	ACOT2,ACSL4,CLU,CTSD,EGFR,FOS,LTF,Nrg1	8 (1)	1	THRB	 	 	CBL,ERBB2,ERK1/2,Mapk,STAT5A	 	 	 	 	 	
UBD	other	1.992	2	 	biased	-0.707	1.01E-05	6.10E-03	ACACA,UBD	ACACB,ACLY,ACOT1,Acot1,ACSL1,ELOVL6,FASN,PPARA	8 (2)	2	IFNG	POR	 	ACACA	ACOX1,PPARA,UCP2	 	 	 	 	
MAT1A	enzyme	-0.006	2	 	 	0.577	1.09E-05	2.64E-02	CYP2E1,CYP4A11,Cyp4a14,MAT1A	C5AR1,CXCL10,CXCL3,CYP2E1,EGR1,FAS,GAMT,IL1B,KRT18,Mt1,S100A8,SAA1	12 (4)	4	 	PCYT1A	 	ACADL	SAA1	 	 	 	 	
PCYT1A	enzyme	-0.249	2	 	 	1.155	1.09E-05	1.68E-02	MAT1A,PCYT1A,PEMT	ABCA1,CD68,CYP2E1,DERL2,EGR1,FAS,GAMT,KRT18,Mt1,PTDSS1,SAA1,TIMP1	12 (3)	3	 	 	 	ABCA1	MAT1A	 	 	 	 	
ABCB6	transporter	-0.018	1	 	 	-1.069	1.12E-05	1.20E-03	ABCB6	CYP1A2,Cyp2a12/Cyp2a22,CYP2A6 (includes others),CYP2B6,Cyp2c40 (includes others),Cyp2d9 (includes others),CYP39A1,Cyp3a25 (includes others),CYP4F2,HAGH,HK1,HMBS,KLF1,SLC25A37	14 (1)	1	 	 	 	Cyp2c23	 	 	 	 	 	
COL4A4	other	0.006	2	 	 	1.604	1.12E-05	2.51E-02	ATF6,COL4A4,EIF2AK3,ERN2	BIRC3,BTG2,Ccl2,CCL20,CEBPB,CPT2,EGR1,ICAM1,IGF1,JUN,PCK2,PLAT,PPARA,ZFP36	14 (4)	3	 	 	 	 	 	 	 	 	 	
NEK7	kinase	-0.009	2	 	 	1.387	1.15E-05	3.40E-02	CASP1,NEK7	Ccl2,CXCL10,CXCL2,FASN,IL1B,MLKL,NOS2,PPARA,RGCC,RIPK3,SREBF1,SREBF2,VIM	13 (2)	2	 	 	 	CASP1,PTGS2	RGCC	 	 	 	 	
SOCS6	other	-0.024	1	 	 	0.333	1.17E-05	8.10E-03	SOCS6	Ccl7,CEBPD,CXCL2,CXCL3,HBEGF,IL1B,MARCO,PLAT,RGCC	9 (1)	1	 	 	 	CXCL2,IL1B,PTGS2	RGCC	 	 	 	 	
ABCB4	transporter	1.133	1	Inhibited	 	-2.111	1.43E-05	3.00E-02	ABCB4	ABCD2,Ccl2,CCL20,CXCL10,ELF3,LGALS3,MMP2,NFKB2,PDGFA,SERPINE1,TIMP1	11 (1)	1	NFE2L2,PKD1	 	 	 	LGALS3,SPARC	 	 	 	 	
CASP1	peptidase	0.204	1	 	 	1.508	1.43E-05	1.40E-02	CASP1	Ccl2,CXCL2,FASN,IL1B,MLKL,NOS2,PPARA,RIPK3,SREBF1,SREBF2,VIM	11 (1)	1	IL12 (complex),NEK7,NLRC4,OGA,PRKCD,TICAM1	BIRC3,CEBPB,CSTB,CTH,mir-135,RPTOR,SMARCA5,SQSTM1	 	ACACA,ACOX1,IL1B,P38 MAPK,PPARA,PPARG,SREBF2,VIM	CCL11,CSF3,CXCL2	 	 	 	 	
PLCE1	enzyme	-0.008	1	Activated	biased	2.449	1.55E-05	2.50E-03	PLCE1	Ccl2,CCR2,CXCL2,CXCL3,CXCR2,GFAP	6 (1)	1	OGA	 	 	CXCL2,ERK1/2,PTGS2	 	 	 	 	 	
LRP1	transmembrane receptor	-0.033	1	 	 	-1.941	1.62E-05	4.54E-02	LRP1	ABCG5,ABCG8,Ccl2,CCL3L3,CD14,CD68,CTSD,IL1B,NOS2,SERPING1,SLC2A3,SLC2A4,WNT5A	13 (1)	1	FDFT1,IL4	 	 	 	ERK1/2,IL1B,MAPK3,P38 MAPK,SQSTM1	 	 	 	 	
Vegf	group	 	1	 	 	-1.147	1.84E-05	4.82E-02	Vegf	Acot1,ACOT2,Akr1c14,BTN1A1,CIDEA,CLDN1,Ctla2a/Ctla2b,FST,HDC,HMGCS2,HOPX,IGFBP3,LCN2,MAOB,MIF,PDK4,PPP1R1B,SHISA2,Sult1d1	19 (1)	1	ATF4,C3AR1,C5AR1,IKBKB,IL1B,IRS1,NCOA2,PTGS2	IFNG,KDR,THRB	 	FST,PLA2G4A,TNC,XDH	CA4,EHHADH,UCP1	 	 	 	 	
CUL4B	other	0.033	2	Activated	 	3.357	1.86E-05	3.72E-02	CUL4B,ZFP36	ABCG4,CCL3L3,CXCL3,CYBB,ICAM1,IER3,IL1B,LCN2,LMO2,MPO,Ngp,PIM1,S100A8,TMCC2,ZFP36	15 (2)	2	 	 	 	 	 	 	 	 	 	
ALOX15	enzyme	0.077	1	 	 	0.333	2.03E-05	1.26E-02	ALOX15	ABCA1,Ccl2,CXCL2,HMOX1,ICAM1,IL1B,JUN,MMP2,NOS2	9 (1)	1	 	 	 	IL12B,P38 MAPK,Pkc(s),PPARG	ABCA1,CXCL2,IL1B	 	 	 	 	
S100A8	other	1.363	1	Inhibited	 	-2.333	2.03E-05	1.74E-02	S100A8	ARG2,Ccl2,CXCL2,CXCL3,HMOX1,ICAM1,NFKBIA,NOS2,Saa3	9 (1)	1	IL12B,IL17RA,IL1A,IL33,PLAU,PPARA,SAA1,TLR3,TNFSF12	ADAMTS12,Alpha catenin,HRH3,INSIG1,MRTFA,MRTFB,NPC1,SRF,TNIP1	 	 	CXCL2	 	 	 	 	
NOD2	other	0.049	1	Activated	 	3.207	2.08E-05	4.22E-02	NOD2	ACOD1,ACSL1,CLEC4E,CLEC5A,CXCL10,CXCL2,GPR84,ICAM1,IL1B,MEFV,NFKB2,NOS2,RALGDS,SLC2A6	14 (1)	1	 	 	 	CXCL2,GPR84,IgG,IL12B,IL1A,IL1B,JINK1/2,MCOLN2,NR1H3,P38 MAPK,PDE4B,PTGES,RASGRP1	IFNG,IL2,RIPK2	 	 	 	 	
MAP2	other	0.003	2	Activated	 	4.123	2.82E-05	4.25E-02	CREB1,MAP2	ATF3,BTG2,CEBPB,CSRNP1,EGR1,EGR2,ENTPD1,FOS,GADD45B,JUNB,KLF4,MNS1,NR4A1,PER1,PPP1R15A,PRKAR2B,SLC2A3	17 (2)	2	APOE	RTN4	 	Pka catalytic subunit	 	 	 	 	 	
PCSK9	peptidase	3.141	1	 	 	1.890	3.15E-05	1.13E-02	PCSK9	Ccl2,Ccl7,ICAM1,IL1B,LDLR,OLR1,TLR2	7 (1)	1	HNF1A,MED13,PPARD,SCAP	FDFT1,NPC1	 	IL1B,SQSTM1	LDLR	 	 	 	 	
TREM2	transmembrane receptor	1.979	1	 	 	-0.378	3.15E-05	6.10E-03	TREM2	Ccl2,CCL3L3,CX3CR1,CXCL2,NFKBIA,TNFAIP3,TREM1	7 (1)	1	 	TP73	 	CBL,ERK1/2,IL1A	CXCL2,IL1B,PTGS2,TREM1	 	 	 	 	
NPC1	transporter	0.032	1	Inhibited	 	-2.111	3.19E-05	4.47E-02	NPC1	ABCA1,ABCG8,CCL3L3,CD68,CTSD,LDLR,MMP8,PCSK9,S100A8,SREBF2,STAT4	11 (1)	1	 	 	 	ATF4	ABCA1,LDLR,MMP8,P38 MAPK,PCSK9,S100A8,SREBF2,STAT4	 	 	 	 	
TRAFD1	other	0.045	2	Inhibited	 	-2.309	3.25E-05	4.60E-02	JINK1/2,NFKBIA,TRAFD1	Ccl2,CCL3L3,Ccl7,CXCL2,FAS,FASN,HLA-A,ICAM1,IL1B,SLC2A4,SREBF1,TNFRSF1A	12 (3)	2	 	 	 	 	IL12 (complex),JINK1/2	 	 	 	 	
IL11RA	transmembrane receptor	-0.148	1	Activated	 	2.333	3.39E-05	2.44E-02	IL11RA	Ccl2,CCL20,CCL3L3,Ccl6,Ccl7,CXCL3,FOS,MMP12,MMP2	9 (1)	1	 	 	 	CCL11	 	 	 	 	 	
PDE4B	enzyme	-0.361	2	 	 	0.000	3.66E-05	1.60E-02	Pde4,PDE4B,VASP	CYP51A1,FDPS,HMGCR,IL1B,ITGB2,LDLR,NOS2,SELP	8 (3)	3	IL1B,NOD2,RIPK2,TICAM1	AIP,PKD1	 	Pde4	 	 	 	 	 	
XDH	enzyme	0.100	1	 	 	-0.707	3.66E-05	1.47E-02	XDH	Ccl2,CEBPB,CXCL3,CYBB,IL1B,PPARA,SERPINE1,VIM	8 (1)	1	Vegf	CTH	 	IL1B	CEBPB,PPARA,PPARG,VIM	 	 	 	 	
CA4	enzyme	 	1	Inhibited	 	-2.530	4.28E-05	1.40E-03	CA4	ANK1,CA1,HEMGN,KEL,Ngp,RHCE/RHD,SLC10A6,SLC4A1,SPTB,TMC5	10 (1)	1	 	CFTR,CISH,mir-223,Vegf	 	 	SLC4A1	 	 	 	 	
VTN	other	-0.023	2	 	 	0.816	4.28E-05	1.60E-03	PROC,VTN	CXCL3,IL1B,MPO,NOS2,PROCR,SERPINE1	6 (2)	2	HNF1A,KDM6A	 	 	 	IL1B,PROC	 	 	 	 	
NRIP1	transcription regulator	-0.043	1	 	 	-0.577	4.53E-05	2.22E-02	NRIP1	ACACB,AREG,CIDEA,COX7A1,CPT1B,FASN,IL1B,LDHB,PDK4,PPP1R3B,SLC16A10,SUOX	12 (1)	1	 	 	 	ACACA,AREG,IL1B	ACACB,UCP1	 	 	 	 	
MED13	transcription regulator	-0.045	1	 	 	-0.577	6.22E-05	2.33E-02	MED13	AACS,ACSM3,CIDEA,CLSTN3,CYP2A6 (includes others),FASN,HMGCR,NTRK2,PCSK9,PRKAR2B,SLC2A4,TKT	12 (1)	1	 	 	 	PCSK9	ACACA,PPARG	 	 	 	 	
CSF3	cytokine	 	1	 	 	1.134	6.28E-05	8.00E-03	CSF3	BATF,BAX,CXCL2,CXCL3,MMP2,MMP8,PROK2	7 (1)	1	C5AR1,IL17RA,IL1A,IL1B,IL25,P38 MAPK,PRKCE,PTGS2,SAA1,TLR3	ABCA1,BIRC3,C3AR1,CARD9,CASP1,IFNG,NR1H2,NR1H3,PPARG,STAT5A,TNFRSF1A	 	CXCL2,ERK1/2,MMP8	 	 	 	 	 	
BAG1	other	0.277	1	 	 	0.000	7.55E-05	3.90E-03	BAG1	EGFR,FKBP5,Hspa1b,MAPT	4 (1)	1	 	 	 	 	 	 	 	 	 	
LRP8	transmembrane receptor	0.958	1	 	 	0.000	7.55E-05	2.70E-03	LRP8	ABCA1,CLU,DAB1,GPX4	4 (1)	1	 	SPARC	 	ABCA1,P38 MAPK	DAB1	 	 	 	 	
PDE8A	enzyme	-0.107	1	Inhibited	biased	-2.000	7.55E-05	3.90E-03	PDE8A	CYP51A1,FDPS,HMGCR,LDLR	4 (1)	1	 	AIP	 	 	CYP51A1,LDLR,SCAP,SREBF2	 	 	 	 	
Pde4	group	 	1	Inhibited	biased	-2.000	7.55E-05	3.90E-03	Pde4	CYP51A1,FDPS,HMGCR,LDLR	4 (1)	1	PDE4B,Pde4d	 	 	 	CYP51A1,LDLR,SCAP,SREBF2	 	 	 	 	
FRS2	other	-0.038	2	 	 	1.000	8.45E-05	3.03E-02	FRS2,MAP2K1/2	ARG2,Ccl2,CCL3L3,CXCL3,ITGA6,KRT14,Ly6a (includes others),NOS2,PROM1	9 (2)	2	KLB	 	 	CD44	 	 	 	 	 	
TNIP1	other	0.882	1	Inhibited	 	-3.317	9.14E-05	8.00E-03	TNIP1	CCL20,CCR1,CXCL2,CXCL3,IL1B,LCN2,MMP8,S100A8,S100A9,Saa3,Stfa2/Stfa2l1	11 (1)	1	 	 	 	 	CXCL2,IL1B,MMP8,S100A8	 	 	 	 	
BPIFA1	other	 	1	 	 	-0.816	9.85E-05	6.30E-03	BPIFA1	CAMP,CCL20,CXCL2,CXCL3,IL1B,LTF	6 (1)	1	 	 	 	FOXJ1	CXCL2,IL1B	 	 	 	 	
Cyp2c23	enzyme	-0.005	1	 	 	-1.414	1.05E-04	9.90E-03	Cyp2c23	ASPA,Ccl2,CCR2,CD86,CX3CR1,IL36G,ITGAM,Stfa2/Stfa2l1	8 (1)	1	ABCB6	 	 	 	 	 	 	 	 	
HRH3	G-protein coupled receptor	 	1	Inhibited	 	-2.828	1.05E-04	4.31E-02	HRH3	CLEC4D,CXCL10,CXCL3,FPR2,Mup1 (includes others),S100A8,S100A9,VCAN	8 (1)	1	 	 	 	IFNG,UCP1	S100A8	 	 	 	 	
JINK1/2	group	 	1	 	 	1.134	1.15E-04	2.86E-02	JINK1/2	Ccl2,Ccl7,FAS,FASN,SLC2A4,SREBF1,TNFRSF1A	7 (1)	1	ABCA1,CARD11,IL1A,MAP3K5,NOD2,PRKCD,RIPK2	DAZAP2,DUSP1,TRAFD1	 	TNFRSF1A	PTGS2	 	 	 	 	
PRKCI	kinase	-0.083	1	 	 	-1.134	1.15E-04	1.74E-02	PRKCI	CLDN4,CXCL2,CXCL3,FASN,FOXA2,HK1,SREBF1	7 (1)	1	 	PARD3	 	ERK1/2	CXCL2,IL1A	 	 	 	 	
PTPRE	phosphatase	0.312	1	 	 	1.134	1.15E-04	2.24E-02	PTPRE	Ccl7,CXCL2,CXCL3,MARCO,SLFN12L,STAT5A,TSC22D1	7 (1)	1	 	 	 	CXCL2	IRS1,STAT5A	 	 	 	 	
SAA1	transporter	1.686	1	 	biased	1.890	1.15E-04	2.82E-02	SAA1	Ccl2,CCL3L3,CXCL10,IL1B,MMP2,S100A8,S100A9	7 (1)	1	FST,IL1R1,JAK1,NFE2L2,TNFRSF1A	Alpha catenin,CFTR,EGLN,LGALS3,MAT1A	 	CCL11,CCL5,CSF3,S100A8	 	 	 	 	 	
PROC	peptidase	-0.293	1	Inhibited	biased	-2.236	1.26E-04	6.00E-03	PROC	IL1B,MPO,NOS2,PROCR,SERPINE1	5 (1)	1	HNF1A,KDM6A	VTN	 	 	IL1B	 	 	 	 	
AIP	transcription regulator	0.102	1	 	 	0.832	1.27E-04	4.50E-03	AIP	CMKLR1,CX3CR1,CYP1B1,DUSP1,F2RL1,GPR39,GPRC5A,NPR3,Pde4d,RGS16,RGS18,RGS2,S1PR1	13 (1)	1	 	 	 	C3AR1,F2RL1,RASGRP1,RGS2	DUSP1,PDE4B,Pde4d,PDE8A	 	 	 	 	
IL17RC	transmembrane receptor	0.125	2	Activated	 	2.121	1.66E-04	2.46E-02	IL17RC,MAPK7	CXCL2,CXCL3,IL1B,JUN,PLET1,STEAP4,TRAF4,VIM	8 (2)	2	 	RNF31	 	 	 	 	 	 	 	
EHHADH	enzyme	-0.157	1	 	biased	0.378	1.99E-04	2.39E-02	EHHADH	ABCD3,ACOT2,ACSL1,FASN,MGLL,PDK4,SCP2	7 (1)	1	PPARA,PPARG,SCAP	STAT6,Vegf	 	 	 	 	 	 	 	
OGG1	enzyme	-0.027	2	 	 	1.890	1.99E-04	1.51E-02	KRAS,OGG1	CCL20,CCL3L3,CEBPB,CXCL2,GFAP,IL1B,MMP2	7 (2)	2	PPARA	 	 	CXCL2,IL1A,IL1B	IFNG	 	 	 	 	
MAFK	transcription regulator	0.664	2	 	 	0.000	2.55E-04	3.69E-02	Ap1,MAFK,NFE2	ABCC3,CAT,GCLC,GSTP1,HMOX1,Pvr,SELP,TXNRD1	8 (3)	3	PLIN5	 	 	ABCC4,TXNRD1	 	 	 	 	 	
ADGRF5	G-protein coupled receptor	-0.315	1	 	biased	-1.342	3.09E-04	1.93E-02	ADGRF5	Ccl2,CCL3L3,CXCL3,IL1RN,MMP2	5 (1)	1	 	 	 	 	CSF1	 	 	 	 	
FEM1A	transcription regulator	-0.020	1	Inhibited	biased	-2.236	3.09E-04	1.09E-02	FEM1A	Ccl2,CD68,CXCL10,CXCL2,IL1B	5 (1)	1	 	 	 	 	CXCL2,IL1B	 	 	 	 	
LDL	complex	 	1	Activated	biased	2.236	3.09E-04	2.15E-02	LDL	Ccl2,Ccl7,IL1B,OLR1,TLR2	5 (1)	1	 	APOE	 	IL1B,SQSTM1	 	 	 	 	 	
SLC4A1	transporter	1.828	1	 	 	-0.447	3.09E-04	1.53E-02	SLC4A1	FCER1G,FCGR1A,FCGR2A,Gypa,RHAG	5 (1)	1	BET,Brd4,FOXI1,HIPK2,PKD1	CA4	 	 	FCGR2A	 	 	 	 	
APEX1	enzyme	0.036	1	Activated	 	2.646	3.25E-04	3.49E-02	APEX1	EGR1,EGR2,FOS,FOSB,JUNB,NR4A1,RGS2	7 (1)	1	ATF4,PPARA	 	 	ABCC1,PTGS2,RGS2	IL1A	 	 	 	 	
Gm12602	other	 	1	Inhibited	biased	-2.646	3.25E-04	1.56E-02	Gm12602	BTG2,CGREF1,DHRS9,DUSP5,RGS16,Stfa2/Stfa2l1,Tpm1	7 (1)	1	 	 	 	 	 	 	 	 	 	
ABCC1	transporter	0.526	1	Activated	biased	2.000	3.49E-04	8.60E-03	ABCC1	CYBA,CYBB,NCF1,NCF2	4 (1)	1	APEX1,IL2,NFE2L2	 	 	NOX1	 	 	 	 	 	
ACACA	enzyme	0.320	1	Inhibited	biased	-2.000	3.49E-04	8.20E-03	ACACA	ACACB,ACLY,ELOVL6,FASN	4 (1)	1	CASP1,CBL,IRS1,LGALS3,MBTPS1,Nr1h,NR1H2,NR1H3,NRIP1,SCAP,UBD	ADIPOQ,AGPAT2,C1QTNF1,INSIG1,INSIG2,MED13,N-cor,PPARA,PPARD,RIPK2	 	 	 	 	 	 	 	
FANCD2	other	-0.002	1	 	biased	-1.000	3.49E-04	1.36E-02	FANCD2	ABCG5,LDLR,SCP2,SREBF1	4 (1)	1	 	 	 	LDLR	 	 	 	 	 	
IgG	complex	 	1	Activated	biased	2.000	3.49E-04	1.79E-02	IgG	Ccl2,CD86,FCGR1A,FCGR2A	4 (1)	1	CARD11,IFNG,IL17RA,IL2,IL4,IL6ST,LDLR,NOD2,PTGS2,RPTOR,TICAM1,TNFRSF1A	CEBPB,CYP19A1,FCGR2B,IL12 (complex),LGALS3,PPARD,STAT6,ZC3H12C	 	CSF1,FCGR2A	 	 	 	 	 	
PSMB9	peptidase	-0.185	1	 	 	0.000	3.49E-04	8.70E-03	PSMB9	NFKB2,NFKBIA,RELB,TNFAIP3	4 (1)	1	IFNG	IL10RA	 	 	 	 	 	 	 	
CCL11	cytokine	-0.000	1	Activated	biased	2.449	3.68E-04	1.52E-02	CCL11	CCL3L3,CXCL3,GFAP,IL1B,ITGAM,NOS2	6 (1)	1	AR,ID2,IL11RA,IL13,IL17RA,IL25,IL4,OSM,PRKCB,SAA1,STAT6,TNFSF12	ADAMTS12,CASP1,IFNG,NFE2L2,PPARG,PSMB11,RNF31	 	ERK1/2,IL1B	 	 	 	 	 	
MBTPS1	peptidase	-0.111	1	 	biased	1.633	3.68E-04	3.82E-02	MBTPS1	FASN,FDFT1,FDPS,HMGCR,LDLR,SREBF1	6 (1)	1	 	 	 	ACACA,FDFT1,LDLR	 	 	 	 	 	
AGPAT2	enzyme	-0.103	1	 	 	-0.378	5.09E-04	4.86E-02	AGPAT2	ACSL1,CEBPB,ELOVL6,FABP4,FASN,PLD3,SLC2A4	7 (1)	1	 	 	 	ADIPOQ,CEBPB,PPARG	ACACA,MOGAT1	 	 	 	 	
PLA2G2D	enzyme	 	1	Inhibited	 	-2.449	6.29E-04	4.20E-02	PLA2G2D	Ccl2,CCR2,CD68,IL1B,ITGAM,S100A9	6 (1)	1	 	 	 	 	IFNG,IL1B	 	 	 	 	
PLA2G2E	enzyme	 	1	 	 	-1.633	6.29E-04	1.44E-02	PLA2G2E	ADAM8,CAMP,IL1B,KRT14,S100A9,SERPINE1	6 (1)	1	 	 	 	 	CCL5,IL1B	 	 	 	 	
MAFG	transcription regulator	0.054	1	 	 	0.447	6.42E-04	2.15E-02	MAFG	ABCC3,GCLC,GSTP1,HMOX1,TXNRD1	5 (1)	1	NFE2L2	 	 	ABCC4,TXNRD1	 	 	 	 	 	
MAFK	transcription regulator	0.664	1	 	 	0.447	6.42E-04	2.15E-02	MAFK	ABCC3,GCLC,GSTP1,HMOX1,TXNRD1	5 (1)	1	PLIN5	 	 	ABCC4,TXNRD1	 	 	 	 	 	
MAP3K5	kinase	0.064	1	Activated	biased	2.236	6.42E-04	3.54E-02	MAP3K5	ACE,BAX,Ccl2,Ccl7,CYBB	5 (1)	1	 	STAT6	 	JINK1/2,P38 MAPK	 	 	 	 	 	
UCHL3	peptidase	-0.068	1	 	 	0.447	6.42E-04	2.12E-02	UCHL3	BAX,FABP4,FASN,SLC2A4,SREBF1	5 (1)	1	CD38	 	 	ADIPOQ	 	 	 	 	 	
