category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Cancer, Organismal Injury and Abnormalities	malignant solid tumor	Malignant solid tumor	7.11e-12	0	1.099	1.281	CELSR1, PIPOX, NLRP12, MMP2, TNFRSF1A, LAMA3, RALGAPA2, ALDOA, TNFRSF9, ARRB2, FOS, Ifi27l2a/Ifi27l2b, ZYX, CXCR6, SNAI2, HCAR2, TNFRSF11A, PCDH12, S1PR1, TNFRSF21, CTSG, EPB41L3, AHR, CLU, CXCR2, ELANE, CDKN2B, ADM, TNFRSF12A, BAX, FAS, PLTP, ITGAM, Gm12854/S100a11, LGALS1, WNT5A, SULF2, HMGCR, BTG2, TPI1, ARHGDIA, DCN, S100A8, EGR1, RIPK3, CEBPB, CA3, RORC, Ccl2, TK1, LMO1, Mt1, TUBB3, CSF3R, SAA1, PROM1, SLC33A1, CAT, ESR1, PDCD4, EGFR, HAVCR2, SELP, RASSF1, RBPMS, SSTR2, FOXO3, ABCB4, IL15RA, SMYD2, CCN4, TAL1, TFF1, SLPI, GPNMB, FAM110D, PRLR, AKR1B10, Ly6a (includes others), KRT8, PPARA, PKM, ATF3, ALOX5, STING1, TYROBP, ZFP36, WIF1, Saa3, CYP1B1, TLR2, Neat1, PLAC8, LCN2, IGF1, NFKB2, TES, MCCC2, VCAN, STAT6, STAT5B, CTSZ, JUN, ENTPD1, MAPKAPK3, CXCL12, SOCS3, IL6R, CAMP, S100A4, WT1, MGMT, CHI3L1, AKAP12, IER3, STAT5A, RNF43, IGFBP3, NTRK2, NT5E, CCR2, MAP4K4, KLF6, PAK1, Scd2, S100A9, BMF, S100A6, IGFBP2, TXNRD1, TERT, GFAP, PLK3, ARL13B, Cyp2b13/Cyp2b9, MAPK13, PFKP, NQO2, HTRA1, GADD45B, NFKBIA, ANGPTL4, SKAP2, C5AR1, MAP3K8, PNPLA2, VWF, FHL3, Cdkn1c, GPI, BACH2, IL1B, HSPB8, ANXA2, IGFBP5, SPI1, PIM1, ABCG2, ANXA1, RBM38, LTF, MMP8, ALDOC, SERPINE1, Raet1d/Raet1e, LETMD1, NLRP6, THRB, TTR, ANXA7, MMP12, PIK3R1, RAC2, PLET1, MIF, LTBP4, CBR1, NPTX1, ITGA6, MFGE8, GATA1, HMOX1, HEYL, NOS2, TNFAIP3, AGAP2, NLRP3, MCAM, LGALS3, TIMP1, COTL1, PLPPR2, DNMT3B	193
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Migration of mononuclear leukocytes	7.37e-12	Increased	4.298	3.315	Ccl2, Ccl6, CX3CR1, TNFRSF1A, SELL, JAK3, CCL20, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, SAA1, STING1, HDC, CD86, TLR2, S1PR1, BACH2, IL1B, CXCL10, TNFRSF21, CYP26B1, ANXA1, NFKB2, SELP, CXCR2, BATF, SELPLG, MYO9B, FAS, PGLYRP2, JUN, CXCL12, F2RL1, LGALS1, CCR1, GNA12, MICOS10-NBL1/NBL1, BCL3, SELE, PIK3R1, IL15RA, CCL3L3, RAC2, S100A4, AQP3, RGS16, MYO1G, CX3CL1, LCP1, LDLR, GCNT1, APBB1IP, MIF, NT5E, GSDMD, CCR2, TRPM4, SPN, ADAM8, SGPL1, TNFSF14, MPO, NR4A1, ITGA6, TNFRSF10A, HLA-A, NOS2, RGS1, NLRP3, LGALS3, EGR2, MCAM, TNIP1, TIMP1, Ly6a (includes others), ICAM1, RORC	79
Cell Death and Survival	apoptosis	Apoptosis of myeloid cells	7.7e-12	0	0.985	1.091	ITGAM, LGALS1, TNFRSF1A, NQO2, FCER1G, ITGB2, NFKBIA, TREM2, IRAK3, BIRC3, ATF3, FOS, GFI1B, LDLR, STAT5A, TREM1, MIF, CASP4, TLR2, CD5L, ADAM8, MEFV, SLPI, PLAT, GATA1, LCN2, EPOR, HAVCR2, ANXA1, PCTP, ST3GAL3, NOS2, AHR, NAMPT, RIPK3, GSN, CEBPB, STAT6, SERPINA1, MMP8, LGALS3, BAX, STAT5B, FAS, IL36G, CYBB, FOXO3	47
Hematological System Development and Function, Hypersensitivity Response, Tissue Morphology	quantity	Quantity of eosinophils	7.81e-12	0	-0.734	-0.8	ADA, ITGAM, LGALS1, HPSE, TNFRSF1A, MMP12, PGLYRP1, NQO2, SELL, ITGB2, SELE, IRAK3, ARHGDIB, ALOX5, ARHGEF5, C5AR1, RELB, MAP3K8, ARHGDIA, CEBPE, IL17RB, CTSE, MIF, PTGIR, CCR2, STAT4, SPON2, ADAM8, CSF2RB, LIF, GATA1, NOS2, SELP, DUSP5, CLU, SELPLG, STAT6, LGALS3, CFP, ICAM1, CLEC7A	41
Organismal Survival	organismal death	Organismal death	7.96e-12	Decreased	-5.008	-0.604	ERBB4, LIN7C, SREBF2, PORCN, HSD3B7, SNAI2, HBEGF, ABCB10, SLC25A37, ATP1B2, ATP1A3, SLC1A2, SLC16A2, LYZ, PIEZO2, COL5A2, GSN, PARP3, ELANE, ADM, SPINK1, FST, BAX, AQP4, APRT, SULF2, NPC2, LEPR, CCL3L3, ESRRG, SPRY4, DCN, ZFP57, LRRK1, TRPM4, DBI, PLAT, LIFR, GGT5, RIPK3, CEBPB, RORC, NR6A1, Ccl2, TK1, LMO1, CARD9, HMBS, SPIB, BRINP1, SS18L1, RELB, FLRT3, FUT8, DBT, DHCR7, DGAT2, AEBP1, FPR2, ADAM15, ACVR1B, SELP, CABIN1, RASSF1, CLEC7A, SERPIND1, F2RL1, ABCB4, SLC31A1, KRT14, GRIA3, GPX4, MAPT, EHD4, CASP4, TAL1, DYNC2LI1, CA14, ARPP19, SLC4A1, SLC39A8, ELOVL1, CEBPD, CA5A, SLPI, EPOR, TNFRSF10A, CYP1A2, CTNNBIP1, ACLY, Ly6a (includes others), ICAM1, SERPING1, PYGO1, ADA, LOX, CLDN7, CX3CR1, PPARA, ITGB2, LHX6, ARHGDIB, ALOX5, STING1, IMPA1, F11, TTYH1, FERMT3, Ptprd, PEG10, MCM10, IFT122, SOX5, LCN2, IGF1, NPR3, RHBDF2, SERPINA6, NFKB2, SLC13A4, RNF186, STAT6, MAPKAPK3, CXCL12, SOCS3, LY6E, CCR1, CLDN4, CACNB2, WT1, S100A4, ROR1, IRAK3, MGMT, Pde4d, CEBPE, MARCO, STAT4, F2RL2, CAPN1, Scd2, S100A9, TXNRD1, CYP51A1, NFE2, SEL1L, NFKBIA, ANGPTL4, C5AR1, ADAMTS13, ASCL1, VWF, Cdkn1c, IL18R1, SLC7A5, IL1B, FLNA, CDC25A, ANXA2, IGFBP5, LIF, CPT1B, MAFF, CYP26B1, RAB3D, SLC2A9, AFMID, CXCL3, NLRP6, PGLYRP2, P2RX3, THRB, ANXA7, DAB1, STXBP2, HSPA4L, PIK3R1, ACE, CLDN1, RAC2, SDC1, PELO, FITM2, Ank2, Tpm1, PCCA, TRAF4, SP4, CLCN7, HPGD, ITGA6, CXCL2, MNS1, GATA1, HMOX1, HEYL, GSTZ1, MMUT, NOS2, TNFAIP3, NLRP3, DMRT2, TIMP1, DNMT3B, CELSR1, SLC6A9, KCNJ2, Hspa1b, GGT1, MMP2, TNFRSF1A, LAMA3, SLC22A4, SLC23A1, TNFRSF9, ARRB2, FOS, DERL2, SNCA, HP, BACE2, RAD54B, GAMT, WDR1, FES, NFKBIZ, S1PR1, ADRA1B, CYP17A1, MME, Nrg1, TCTN3, EPB41L3, AHR, Gk, CXCR2, CDKN2B, A4GALT, CFP, TNFRSF12A, FAS, ACHE, ITGAM, EI24, WNT5A, HMGCR, MAFK, CBX2, ARHGDIA, STX1B, BICC1, LAMB2, S100A8, SLC40A1, LMO2, SUB1, LIN7A, TGIF1, PROCR, PDGFA, ALDH1A3, CSRP3, RARB, MTHFD2, PLPP3, IFT57, Mt1, APLNR, UBD, Mug1/Mug2, LRP8, LMNA, IL1RN, ATG3, RGN, REV3L, RAD51D, CTSD, PTGIR, ESR1, PGAP1, INSIG1, EGFR, PDCD4, CXCL10, PSTPIP1, HAVCR2, ALPL, SOD3, GPX3, PPP1R15A, CYBB, FOXO3, TNFAIP8L2, ADH4, BCL3, F13A1, BIK, ASPA, GOLM1, Cmah, KCNC3, G6PD, CSRNP1, SGPL1, ABCA1, Irgm1, CIT, TNIP1, FOXQ1, KRT8, FTL, NCF1, FCER1G, PLA2G7, TLN2, BIRC3, ATF3, NEK8, GHR, ZFP36, Igtp, FOXA2, TLR2, ANG, SBNO2, TAF7, DUSP9, STAT5B, JUNB, UNC13B, JUN, IL6R, SLC20A1, FASN, MEGF8, P2RY4, FKBP1B, KLF4, FGFRL1, VIM, TKT, GFI1B, MLKL, AKAP12, DUSP1, PPP1R3C, STAT5A, HOPX, NTRK2, CCR2, MAP4K4, SLC2A3, SREBF1, STIM2, KLF6, BMF, GFAP, PLK3, SLC2A4, ULK2, Ccl6, SALL4, DES, LIMS2, CYP2E1, MAP3K8, PNPLA2, NGF, Ctla2a/Ctla2b, HSD17B2, EHD3, CD14, HSPB8, SPI1, SRXN1, ANXA1, RBM38, MMP8, SERPINE1, IL36G, KLF1, CLCF1, IKBKE, HCK, COX7A1, ITGA3, MMP12, GNA12, DDR1, SELE, MRTFA, RHBDF1, LDLR, SHISA2, WNT2, GRIA2, MRAP, HSD17B7, TREM1, BLNK, MIF, SCN1B, MMP15, CXADR, P3H2, ADAMTS4, GCLC, GDF15, KCNA2, ADAM23, MPO, MFGE8, VIPR1, MYH10, FDFT1, PERP, SLC34A2, NGFR, SERPINA1, SCN2A, EGR2, LGALS3, CTNNBL1, CHRNA4, GLDN	426
Cancer, Organismal Injury and Abnormalities	neoplasia	Epithelial neoplasm	8.16e-12	0	-0.261	0.139	MMP2, TNFRSF1A, LAMA3, PPARA, PKM, ALDOA, PLA2G7, TNFRSF9, ARRB2, DPYSL4, ATF3, FOS, Ifi27l2a/Ifi27l2b, STING1, HP, SNAI2, Saa3, TLR2, PCDH12, Neat1, LCN2, IGF1, TES, EPB41L3, AHR, CLU, CXCR2, VCAN, STAT6, CDKN2B, TNFRSF12A, BAX, FAS, CTSZ, JUN, ACHE, MAPKAPK3, Gm12854/S100a11, LGALS1, SULF2, SOCS3, HMGCR, IL6R, S100A4, MGMT, CHI3L1, AKAP12, TPI1, IER3, RNF43, DCN, IGFBP3, NTRK2, GSTP1, RELN, CCR2, S100A8, KLF6, PAK1, Scd2, S100A9, S100A6, EGR1, Ngp, TERT, PLK3, DUSP5, RIPK3, CEBPB, Cyp2b13/Cyp2b9, MAPK13, CA3, PFKP, Ccl2, TK1, Mt1, CSF3R, GADD45B, NFKBIA, ANGPTL4, SAA1, SLC33A1, ASCL1, PNPLA2, VWF, Cdkn1c, ESR1, GPI, PDCD4, EGFR, AEBP1, FABP4, FPR2, HSPB8, PTPRT, ANXA2, IGFBP5, PIM1, ANXA1, LTF, RASSF1, MMP8, ALDOC, SSTR2, FOXO3, THRB, SERPIND1, TTR, ANXA7, MMP12, ABCB4, BCL3, PIK3R1, RAC2, PLET1, SMYD2, TRAF4, MIF, LTBP4, TFF1, CBR1, SLPI, ITGA6, MFGE8, HMOX1, PERP, FAM110D, NOS2, PRLR, TNFAIP3, AGAP2, AKR1B10, NLRP3, LGALS3, Ly6a (includes others), COTL1, DNMT3B	137
Inflammatory Response	innate immune response	Innate immune response	9.24e-12	0	-0.447	-0.676	DUSP10, SERPINB1, ACOD1, CLEC4E, MMP2, PLSCR1, CCR1, IFNLR1, BCL3, FGR, CARD9, LBP, FCER1G, CAMP, TREM2, LRP8, IRAK3, STING1, TRIM10, TLR2, SPON2, ADAM8, TREM3, SLPI, FPR2, CLEC4D, MYO1F, CLEC5A, ANG, LCN2, HAVCR2, VNN1, SMPDL3B, TNFRSF10A, TNFAIP3, CEBPB, Tlr13, CLEC6A, CYBB, CYBA	40
Cancer, Organismal Injury and Abnormalities	nonhematologic malignant neoplasm	Nonhematologic malignant neoplasm	9.33e-12	0	-0.072	0.174	CELSR1, PIPOX, MMP2, TNFRSF1A, LAMA3, PPARA, PKM, ALDOA, TNFRSF9, ARRB2, ATF3, ALOX5, FOS, Ifi27l2a/Ifi27l2b, CXCR6, STING1, SNAI2, TYROBP, WIF1, Saa3, TLR2, PCDH12, Neat1, LCN2, IGF1, TES, EPB41L3, AHR, CLU, VCAN, CXCR2, STAT6, CDKN2B, TNFRSF12A, BAX, FAS, PLTP, CTSZ, JUN, ENTPD1, MAPKAPK3, ITGAM, Gm12854/S100a11, LGALS1, SULF2, SOCS3, HMGCR, S100A4, MGMT, CHI3L1, BTG2, TPI1, IER3, RNF43, IGFBP3, NTRK2, NT5E, CCR2, MAP4K4, S100A8, KLF6, PAK1, Scd2, S100A9, S100A6, IGFBP2, EGR1, GFAP, PLK3, RIPK3, CEBPB, ARL13B, Cyp2b13/Cyp2b9, CA3, PFKP, Ccl2, TK1, Mt1, TUBB3, CSF3R, GADD45B, NFKBIA, SAA1, PROM1, PNPLA2, VWF, Cdkn1c, ESR1, GPI, BACH2, EGFR, HSPB8, IGFBP5, ABCG2, HAVCR2, ANXA1, LTF, RASSF1, RBPMS, ALDOC, SSTR2, FOXO3, THRB, TTR, ANXA7, MMP12, ABCB4, PIK3R1, PLET1, SMYD2, CCN4, MIF, LTBP4, TFF1, CBR1, NPTX1, SLPI, ITGA6, MFGE8, HMOX1, FAM110D, NOS2, PRLR, TNFAIP3, AGAP2, AKR1B10, NLRP3, MCAM, LGALS3, Ly6a (includes others), COTL1, PLPPR2	132
Cell Death and Survival	apoptosis	Apoptosis of blood cells	9.7e-12	0	0.406	0.828	ADA, TNFRSF1A, JAK3, PPARA, FCER1G, TNFRSF9, ITGB2, BIRC3, ATF3, FOS, STING1, CD9, TLR2, S1PR1, TNFRSF21, Cd24a, LCN2, NFKB2, ST3GAL3, AHR, GSN, STAT6, BAX, STAT5B, FAS, JUN, ITGAM, CXCL12, LGALS1, WNT5A, IL6R, CCL3L3, TREM2, WT1, IRAK3, GFI1B, CHI3L1, IER3, STAT5A, MXD1, NR4A1, BMF, CD79B, PLAT, EGR1, DUSP5, RIPK3, CEBPB, ORMDL3, RORC, Ccl2, Mt1, NQO2, UBD, NFKBIA, SPIB, IL1B, SPI1, PIM1, PAWR, HAVCR2, ANXA1, MMP8, IL36G, CYBB, FOXO3, IKBKE, TNFAIP8L2, BCL3, PIK3R1, IL15RA, RAC2, LDLR, TSC22D3, TREM1, BLNK, MIF, CASP4, SPN, CD5L, ADAM8, SGPL1, MEFV, ICOSLG/LOC102723996, SLPI, LECT2, GATA1, EPOR, PCTP, PERP, Irgm1, NOS2, TNFAIP3, NLRP3, NAMPT, SERPINA1, LGALS3, DNMT3B	98
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	accumulation	Accumulation of lipid	9.77e-12	0	0.765	0.893	ACAT2, TRIB3, PPARA, PIK3R5, AQP7, FGR, Mup1 (includes others), GLA, LMNA, SREBF2, FOS, LPIN1, SAA1, IL1RN, Ces1e, DGKB, PNPLA2, APOBR, HSD11B1, SCP2, ARSA, INSIG1, PON1, IL1B, FABP4, FCGR2A, OSMR, AHR, ABCD2, PLTP, THRB, CLCF1, HCK, FASN, NPC2, LEPR, CIDEC, FITM2, LDLR, ACSL1, Ank2, STAT5A, MIF, SLC40A1, MEDAG, CEBPD, PPP1R3G, SREBF1, RENBP, RDH11, SGPL1, CSF2RB, ABCA1, CD79B, DBI, ELOVL5, PDK4, HMOX1, GGT5, LTB4R, CEBPB, MAPK13, PRKAA2, TGIF1, ACAT1, TIMP1, TFE3, ICAM1	68
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Lymphocyte migration	1e-11	Increased	4.305	3.346	Ccl2, Ccl6, CX3CR1, TNFRSF1A, SELL, JAK3, CCL20, TNFRSF9, ITGB2, ARRB2, ALOX5, FOS, SAA1, STING1, HDC, CD86, TLR2, S1PR1, BACH2, IL1B, CXCL10, TNFRSF21, CYP26B1, ANXA1, NFKB2, SELP, CXCR2, BATF, SELPLG, MYO9B, FAS, PGLYRP2, JUN, CXCL12, F2RL1, LGALS1, CCR1, GNA12, BCL3, SELE, PIK3R1, IL15RA, CCL3L3, RAC2, S100A4, AQP3, RGS16, MYO1G, CX3CL1, LCP1, LDLR, GCNT1, APBB1IP, MIF, NT5E, GSDMD, CCR2, TRPM4, SPN, ADAM8, SGPL1, TNFSF14, MPO, NR4A1, ITGA6, TNFRSF10A, HLA-A, NOS2, RGS1, NLRP3, EGR2, MCAM, TNIP1, TIMP1, Ly6a (includes others), ICAM1, RORC	77
Cancer, Organismal Injury and Abnormalities	metastasis	Secondary tumor	1.04e-11	Increased	3.448	2.757	KRT8, MMP2, GPT2, ERBB4, NEDD9, SELL, RALGAPA2, PIK3R5, ARRB2, DPYSL4, ATF3, ALOX5, FOS, CXCR6, STING1, ADI1, SNAI2, FOXA2, CD9, HCAR2, FERMT3, TNFRSF11A, Saa3, TLR2, S1PR1, DAPK1, TNFRSF21, CTSG, LCN2, IGF1, CLU, CXCR2, PFKFB4, STAT6, CLEC6A, GRHL2, ELANE, ADM, TNFRSF12A, CYBA, CTSZ, ENTPD1, CXCL12, LGALS1, WNT5A, SULF2, HPSE, SOCS3, RHOC, S100A4, ROR1, KLF4, VIM, MGMT, AKAP12, NTRK2, NT5E, UGDH, ARHGDIG, CCR2, Clca3a1/Clca3a2, SMPD3, KLF6, CLEC4D, PLAUR, IGFBP2, Ngp, WSB1, RIPK3, SMOC2, MAPK13, Ccl2, Mt1, UBD, HTRA1, NFKBIA, ANGPTL4, SKAP2, NCF2, C5AR1, CAT, FUT8, CD86, GPI, BACH2, EGFR, IL1B, CDC25A, ANXA2, ANXA1, CDCP1, SELP, RASSF1, MMP8, SERPINE1, CXCL3, SSTR2, LETMD1, CYBB, FOXO3, THRB, IKBKE, ITGA3, DDR1, IL15RA, PIK3R1, RAC2, KRT14, LAMA5, SDC1, MRTFA, CCN4, IL18BP, TRAF4, CEBPD, CBR1, ICOSLG/LOC102723996, ABCA1, ITGA6, SEMA3B, GPNMB, CXCL2, HMOX1, TNFRSF10A, NOS2, PRLR, MCAM, LGALS3, TIMP1	129
Cell Morphology	morphology	Morphology of leukocytes	1.19e-11	0	0	0	Ccl2, FTL, Mt1, CX3CR1, TNFRSF1A, CSF3R, JAK3, FGR, FCER1G, TNFRSF9, ITGB2, NFKBIA, Mug1/Mug2, GLA, SPIB, CMKLR1, LILRB4, TRPM2, IL1RN, HDC, RELB, F11, NFKBIZ, CTSD, CD86, TLR2, ESR1, ARSA, Ptprd, PON1, BACH2, LILRB3, LIF, SPI1, PSTPIP1, NFKB2, AHR, Serpina3g (includes others), BATF, STAT6, CDKN2B, ABCD2, BAX, STAT5B, FAS, FOXO3, CD207, ITGAM, HCK, TNFAIP8L2, HPSE, CCR1, GNA12, NPC2, BCL3, TREM2, LCP1, CHI3L1, LDLR, GCNT1, STAT5A, MXD1, CEBPE, MARCO, BLNK, CTBS, CCR2, Ccl7, CD5L, SGPL1, CP, TNFSF14, BMF, CD79B, EGR1, GATA1, HLA-A, Irgm1, NGFR, RIPK3, CEBPB, LGALS3, Ly6a (includes others), ICAM1, RORC	85
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	migration	Migration of granulocytes	1.2e-11	Increased	3.822	2.976	Ccl2, ITGAM, HCK, NLRP12, LGALS1, CCR1, TNFRSF1A, SELL, PIK3R5, FGR, ITGB2, SELE, CCL3L3, LAMA5, GCNT1, Pde4d, CEBPE, TLR2, S100A8, GDF15, IL1B, SPON2, ITGA6, S100A9, PLAUR, MYO1F, CXCL2, ANXA1, NOS2, SELP, NLRP3, CXCR2, SELPLG, MAPK13, MYLK, STAT6, LGALS3, CXCL3, ICAM1, CYBB	40
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	acute colitis	Acute colitis	1.25e-11	0	0	0	Ccl2, ACOD1, S100A8, CLEC4E, CXCL10, S100A9, CCL3L3, Ms4a4c (includes others), LILRB4, NOS2, HP, NLRP3, GBP6, CXCR2, MS4A6A, Slfn1, TIMP1, CXCL3, Ly6a (includes others), IFI16, CYBB, Retnlg	22
Cellular Function and Maintenance	engulfment	Engulfment of antigen presenting cells	1.48e-11	Increased	2.561	1.608	ITGAM, HCK, FCGR1A, CSF2RA, PGLYRP1, SIRPB1, FGR, ITGB2, FCER1G, CAMP, LEPR, TREM2, SAA1, CAPG, SNCA, TYROBP, RGCC, MARCO, TREML2, GSTP1, TLR2, ABCA7, CD5L, IL1B, SREBF1, CD14, ICOSLG/LOC102723996, ABCA1, S100A9, PLAUR, MFGE8, SPI1, Mbl1, LECT2, HMOX1, FCGR2A, ANXA1, LTB4R, GSN, CEBPB, CLEC6A, LGALS3, SERPINE1, FAS	44
Cell Morphology	morphology	Morphology of antigen presenting cells	1.55e-11	0	0	0	CD207, HCK, Mt1, CX3CR1, TNFAIP8L2, HPSE, CCR1, TNFRSF1A, JAK3, NPC2, BCL3, FGR, TREM2, GLA, CMKLR1, TRPM2, CHI3L1, LDLR, CEBPE, MARCO, CTSD, ESR1, TLR2, CTBS, ARSA, PON1, Ptprd, CP, LIF, SPI1, NFKB2, Irgm1, AHR, NGFR, RIPK3, CEBPB, CDKN2B, LGALS3, ABCD2, ICAM1	40
Lipid Metabolism, Small Molecule Biochemistry, Vitamin and Mineral Metabolism	metabolism	Metabolism of cholesterol	1.75e-11	0	0.851	0.824	NSDHL, WNT5A, HMGCR, APOF, LEPR, LSS, SAA1, LDLR, CAT, HSD17B7, FGL1, CYP39A1, ASPA, SCP2, PON1, INSIG1, SREBF1, ABCG5, ABCA1, DBI, FDFT1, ABCG8, PCTP, PCSK9, DHCR24, TM7SF2, CYP51A1, SOAT2, CLN6, PLTP	30
Cell Death and Survival	apoptosis	Apoptosis of leukocytes	2.21e-11	0	0.552	0.799	ADA, Ccl2, Mt1, TNFRSF1A, NQO2, UBD, JAK3, PPARA, FCER1G, TNFRSF9, ITGB2, NFKBIA, BIRC3, ATF3, SPIB, FOS, STING1, CD9, TLR2, S1PR1, IL1B, TNFRSF21, Cd24a, SPI1, PAWR, LCN2, HAVCR2, ANXA1, NFKB2, ST3GAL3, AHR, GSN, STAT6, MMP8, BAX, STAT5B, FAS, IL36G, CYBB, FOXO3, IKBKE, JUN, ITGAM, TNFAIP8L2, LGALS1, WNT5A, IL6R, BCL3, PIK3R1, IL15RA, TREM2, RAC2, IRAK3, CHI3L1, LDLR, TSC22D3, IER3, STAT5A, TREM1, BLNK, MIF, CASP4, SPN, CD5L, ADAM8, SGPL1, MEFV, NR4A1, BMF, ICOSLG/LOC102723996, CD79B, SLPI, PLAT, EGR1, LECT2, PCTP, PERP, Irgm1, NOS2, TNFAIP3, DUSP5, NLRP3, NAMPT, RIPK3, CEBPB, SERPINA1, LGALS3, ORMDL3, RORC, DNMT3B	90
Cell-To-Cell Signaling and Interaction	response	Response of myeloid cells	2.49e-11	Increased	2.676	1.724	FCGR1A, FGR, FCER1G, ITGB2, SAA1, SNCA, RELB, TYROBP, RGCC, CD9, TLR2, ABCA7, SPON2, IL1B, CD14, CXCL10, LILRB3, SPI1, Mbl1, CTSG, LCN2, FCGR2A, ANXA1, GSN, CLEC6A, ELANE, SERPINE1, CXCL3, FAS, ITGAM, HCK, WNT5A, CSF2RA, PGLYRP1, SIRPB1, CAMP, LEPR, TREM2, CAPG, MARCO, CCR2, CD5L, SREBF1, CSF2RB, PLAUR, S100A9, ABCA1, MFGE8, LECT2, LTB4R, CEBPB, LGALS3, ICAM1	53
Cellular Function and Maintenance	internalization	Internalization of cells	3.23e-11	Increased	2.771	1.749	FCGR1A, CSF3R, FGR, FCER1G, ITGB2, SAA1, SNCA, RELB, TYROBP, RGCC, TLR2, ABCA7, IL1B, CD14, CXCL10, SPI1, Mbl1, LCN2, FCGR2A, ANXA1, GSN, CLEC6A, SERPINE1, FAS, ITGAM, HCK, WNT5A, CSF2RA, PGLYRP1, SIRPB1, CAMP, LEPR, RAC2, TREM2, MYO1G, CAPG, MARCO, GSTP1, CCR2, CD5L, SREBF1, CSF2RB, PLAUR, S100A9, ABCA1, MFGE8, LECT2, HMOX1, LTB4R, CEBPB, LGALS3, ICAM1	52
Cell Morphology, Hematological System Development and Function	morphology	Morphology of myeloid cells	3.32e-11	0	0	0	Ccl2, Mt1, CSF3R, FGR, ITGB2, TNFRSF9, NFKBIA, CMKLR1, TRPM2, HDC, RELB, ANO6, F11, TNFRSF11A, CTSD, ESR1, ARSA, PON1, ANG, LIF, SPI1, PIM1, NFKB2, SELP, STAT6, ABCD2, KLF1, ITGAM, HCK, CCR1, NPC2, BCL3, SELE, TREM2, CHI3L1, DMTN, LDLR, STAT5A, MXD1, CEBPE, TAL1, CTBS, SLC4A1, CCR2, Ccl7, CP, EGR1, GATA1, EPOR, NGFR, RIPK3, CEBPB, LGALS3, NFE2, Ly6a (includes others), ICAM1	56
Hematological System Development and Function, Tissue Development	accumulation	Accumulation of myeloid cells	3.34e-11	Increased	2.143	1.789	Ccl2, ENTPD1, ITGAM, HCK, CX3CR1, NLRP12, TNFAIP8L2, CCR1, NCF1, ITGB2, CCL3L3, LAMA5, ALOX5, CX3CL1, CMKLR1, LDLR, IL1RN, HDC, C5AR1, MAP3K8, P2RY2, MIF, NT5E, TLR2, CCR2, EGFR, Ccl7, S100A8, IL1B, CXCL10, ITGA6, S100A9, PLAT, EGR1, CXCL2, LCN2, FCGR2A, OSMR, PRTN3, SELP, NLRP3, MAPK13, STAT6, SELPLG, MMP8, ELANE, TIMP1, FAS	48
Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymphoid cells	3.6e-11	0	-1.085	-2.176	ADA, CX3CR1, NLRP12, LGMN, TNFRSF1A, FCGR1A, NEDD9, SELL, JAK3, FCER1G, ITGB2, TNFRSF9, ARHGDIB, DAPP1, FOS, LILRB4, STING1, SNAI2, TYROBP, GHR, ZFP36, FES, HCAR2, TNFRSF11A, TLR2, S1PR1, LILRB3, C17orf99, TNFRSF21, ANG, Cd24a, Mbl1, IGF1, LCN2, SLC25A21, SAMSN1, NFKB2, AHR, CXCR2, BATF, STAT6, CDKN2B, Slfn1, BAX, STAT5B, FAS, CXCL12, ITGAM, CLEC4E, LGALS1, CCR1, SOCS3, PGLYRP1, KLKB1, NPC2, CAMP, LEPR, KLF4, IRAK3, CHI3L1, GCNT1, STAT5A, ARHGDIA, APBB1IP, CEBPE, GSTP1, NT5E, CCR2, STAT4, NR4A1, CLEC4D, BMF, CD79B, EGR1, HLA-A, MMP19, DUSP5, RIPK3, CEBPB, ORMDL3, RORC, RARB, DUSP10, Ccl2, Mt1, CD300LF, NQO2, GADD45B, NFKBIA, SPIB, CMKLR1, SAA1, SLC33A1, C5AR1, RELB, MAP3K8, RGCC, FOSB, NGF, CTSD, CD86, PTGIR, ESR1, Ctla2a/Ctla2b, BACH2, MPZL2, CHST3, CXCL10, LIF, SPI1, ACKR4, PAWR, PIM1, HAVCR2, FCGR2A, Pvr, SELP, SELPLG, FOXO3, F2RL1, TNFAIP8L2, GNA12, DDR1, BCL3, IL15RA, SELE, PIK3R1, GCNT2, RAC2, MYO1G, SDC1, CD83, LDLR, Ank2, BIK, MAPT, MZB1, CTSE, IL17RB, BLNK, MIF, TAL1, SPN, CD5L, SGPL1, CSF2RB, ICOSLG/LOC102723996, ITGA6, SERPINB6, LECT2, GATA1, CLEC4A, BLK, TNFRSF10A, NOS2, NGFR, ATP13A5, TNFAIP3, RGS1, NLRP3, LGALS3, EGR2, TNIP1, Ly6a (includes others), HPX, ICAM1	166
