category	-log10(pvalue)	zscore	ratio	molecules	direction
Th2 Pathway	2.15	1	0.165	ACVR1B, CCR1, CD86, CXCR6, HLA-A, ICAM1, ICOSLG/LOC102723996, IL17RB, ITGB2, JAK3, JUN, PIK3R1, PIK3R5, S1PR1, SOCS3, SPI1, STAT4, STAT5A, STAT5B, STAT6	positive
Axonal Guidance Signaling	2.12	0	0.126	ABLIM3, ACE, ADAM15, ADAM23, ADAM8, ADAMTS13, ADAMTS14, ADAMTS15, ADAMTS16, ADAMTS4, ADAMTS7, ARPC1B, BMP5, CXCL12, DPYSL5, EPHB1, FES, FZD1, FZD8, GNA12, GNA14, GNA15, GNAT1, IGF1, ITGA3, ITGA6, ITGB2, KEL, LINGO1, MME, MMP12, MMP15, MMP2, MMP23B, MMP8, MYL12A, MYL12B, MYL4, NGF, NGFR, NOTUM, NTRK2, PAK1, PDGFA, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PROK1, RAC2, RASD1, RRAS, SEMA3B, SEMA6B, SLIT3, TUBA8, TUBB3, TUBB6, WNT2, WNT5A	no direction
Epoxysqualene Biosynthesis	2.07	0	1	FDFT1, SQLE	no direction
IL-9 Signaling	2.06	-0.707	0.242	BCL3, JAK3, NFKB2, PIK3R1, PIK3R5, SOCS3, STAT5A, STAT5B	negative
PPARα/RXRα Activation	2.05	-0.853	0.148	ABCA1, ACVR1B, ADCY2, BCL3, CPT1B, Cyp2c40 (includes others), FASN, GHR, GNA14, GNA15, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, JUN, MAP4K4, NFKB2, NFKBIA, NOTUM, PPARA, PRKAA2, PRKAG2, PRKAR2B, RASD1, RRAS, STAT5B	negative
Heparan Sulfate Biosynthesis	2.03	-2.496	0.188	Ces1b/Ces1c, Ces1e, Ces2a, CES3, CHST11, CHST12, CHST3, NOTUM, SULT1B1, SULT1C2, Sult1d1, SULT2A1, XYLT2	negative
γ-glutamyl Cycle	2.02	0	0.4	GCLC, GGCT, GGT1, GGT5	no direction
Heparan Sulfate Biosynthesis (Late Stages)	2	-2.309	0.194	Ces1b/Ces1c, Ces1e, Ces2a, CES3, CHST11, CHST12, CHST3, NOTUM, SULT1B1, SULT1C2, Sult1d1, SULT2A1	negative
MSP-RON Signaling Pathway	1.98	0	0.2	CCR2, CSF2RB, F11, IL3RA, ITGAM, ITGB2, KLKB1, NOS2, PIK3R1, PIK3R5, TLR2	no direction
Glioma Invasiveness Signaling	1.97	1.265	0.186	MMP2, PIK3R1, PIK3R5, PLAUR, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, TIMP1	positive
Antioxidant Action of Vitamin C	1.94	-1.732	0.167	CSF2RA, CSF2RB, HMOX1, IKBKE, MAPK13, NFKB2, NFKBIA, NOTUM, PLA2G7, PLD3, Pld6, SLC23A1, SLC2A3, SLC2A4, STAT5A, STAT5B, TXNRD1	negative
Integrin Signaling	1.92	2.711	0.142	ARHGAP26, ARPC1B, BCAR3, CAPN1, CAPN5, GSN, ITGA2B, ITGA3, ITGA6, ITGAM, ITGB2, MYL12A, MYL12B, MYLK, NEDD9, PAK1, PIK3R1, PIK3R5, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, TLN2, TSPAN4, ZYX	positive
Glutaryl-CoA Degradation	1.92	-0.447	0.312	ACAT1, ACAT2, CA1, HADH, L3HYPDH	negative
IL-17A Signaling in Gastric Cells	1.91	2	0.273	CCL20, CXCL10, EGFR, FOS, JUN, MAPK13	positive
Glycine Cleavage Complex	1.9	0	0.5	AMT, GCSH, GLDC	no direction
NF-κB Signaling	1.87	1.633	0.146	EGFR, FCER1G, GHR, IL1B, IL1R2, IL1RN, IL36G, IRAK3, MAP3K8, MAP4K4, NFKB2, NFKBIA, NGF, NGFR, NTRK2, PIK3R1, PIK3R5, RASD1, RELB, RRAS, TLR2, TNFAIP3, TNFRSF11A, TNFRSF1A, TNIP1	positive
HOTAIR Regulatory Pathway	1.86	0.209	0.149	ATG3, ATXN1, DNMT3B, ESR1, ICAM1, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, MRTFA, NFKB2, NFKBIA, PIK3R1, PIK3R5, RBM38, RHOC, SNAI2, VIM, WIF1, WNT2, WNT5A	positive
Th1 and Th2 Activation Pathway	1.86	0	0.149	ACVR1B, CCR1, CD86, CXCR6, HAVCR2, HLA-A, ICAM1, ICOSLG/LOC102723996, IL17RB, IL18R1, IL6R, ITGB2, JAK3, JUN, PIK3R1, PIK3R5, S1PR1, SOCS3, SPI1, STAT4, STAT5A, STAT5B, STAT6	no direction
JAK/Stat Signaling	1.86	1.387	0.175	CEBPB, FOS, JAK3, JUN, NFKB2, PIK3R1, PIK3R5, RASD1, RRAS, SOCS3, STAT4, STAT5A, STAT5B, STAT6	positive
Iron homeostasis signaling pathway	1.82	0	0.154	ABCB10, ATP6V0A1, ATP6V0E1, BMP5, CP, EGFR, ERFE, FTL, GDF15, HMOX1, HP, HPX, IL6R, JAK3, PDGFA, SLC11A1, SLC25A37, SLC40A1, STAT5A, STAT5B	no direction
MSP-RON Signaling In Cancer Cells Pathway	1.82	2.236	0.154	CSF2RB, EGFR, ELF3, F11, FLNA, FOS, IL3RA, ITGA6, JUN, KLKB1, NFKB2, NFKBIA, PIK3R1, PIK3R5, PLAUR, PROK1, RASD1, RRAS, VIM, YWHAZ	positive
Sumoylation Pathway	1.82	-2.309	0.165	ARHGDIA, ARHGDIB, ARHGDIG, FAS, FOS, ISG20, JUN, NFKB2, NFKBIA, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, SNCA	negative
Tryptophan Degradation III (Eukaryotic)	1.81	-0.816	0.261	ACAT1, ACAT2, AFMID, CA1, HADH, L3HYPDH	negative
RhoGDI Signaling	1.8	-0.943	0.143	ARHGAP9, ARHGDIA, ARHGDIB, ARHGDIG, ARHGEF5, ARHGEF9, ARPC1B, CDH18, ESR1, GNA12, GNA14, GNA15, GNAT1, ITGA3, ITGA6, ITGB2, MYL12A, MYL12B, MYL4, PAK1, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2	negative
Mitochondrial L-carnitine Shuttle Pathway	1.8	0.447	0.294	ACSL1, ACSL4, CPT1B, CPT1C, CPT2	positive
TNFR2 Signaling	1.77	1.633	0.233	BIRC3, FOS, IKBKE, JUN, NFKB2, NFKBIA, TNFAIP3	positive
IL-1 Signaling	1.77	1.897	0.167	ADCY2, FOS, GNA12, GNA14, GNA15, GNAT1, IKBKE, IL1RAP, IRAK3, JUN, MAPK13, NFKB2, NFKBIA, PRKAG2, PRKAR2B	positive
Inhibition of Matrix Metalloproteases	1.76	-0.378	0.216	MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, SDC1, TIMP1	negative
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.73	0	0.137	ADAMTS4, ALPL, BIRC3, BMP5, FOS, FRZB, FZD1, FZD8, GSN, IGF1, IKBKE, IL18R1, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, JUN, MMP8, NFKBIA, NGFR, PIK3R1, PIK3R5, TNFRSF11A, TNFRSF1A, WIF1, WNT2, WNT5A	no direction
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.71	0	0.333	GPI, HK1, HK3, HKDC1	no direction
MSP-RON Signaling In Macrophages Pathway	1.7	0.5	0.16	F11, FOS, IKBKE, ITGAM, ITGB2, JUN, KLKB1, NFKB2, NFKBIZ, NOS2, PIK3R1, PIK3R5, RASD1, RRAS, SBNO2, SOCS3	positive
Actin Nucleation by ARP-WASP Complex	1.69	2.121	0.171	ARPC1B, GNA12, ITGA3, ITGA6, ITGB2, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.69	0	0.176	BLNK, FES, IL15RA, JAK3, PIK3R1, PIK3R5, RASD1, RRAS, SOCS3, STAT5A, STAT5B, STAT6	no direction
Th17 Activation Pathway	1.69	1.732	0.176	AHR, BATF, CCL20, FCER1G, IL1B, IL6R, IRAK3, JAK3, NFKB2, RORC, SOCS3, STAT4	positive
Glutathione-mediated Detoxification	1.64	1.633	0.24	Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, MGST3	positive
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.64	0	0.24	IL6R, MAPK13, OSMR, SOCS3, STAT5A, STAT5B	no direction
IGF-1 Signaling	1.63	0.333	0.157	FOS, FOXO3, IGF1, IGFBP1, IGFBP2, IGFBP3, IGFBP5, JUN, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS, SOCS3, YWHAZ	positive
Retinol Biosynthesis	1.63	-0.378	0.205	AKR1B10, CES1, Ces1e, CES3, DHRS9, PNLIPRP1, PNPLA2, RDH11	negative
Sertoli Cell-Sertoli Cell Junction Signaling	1.63	0	0.138	CLDN1, CLDN12, Cldn13, CLDN15, CLDN2, CLDN23, CLDN4, CLDN7, ITGA3, ITGA6, ITGB2, JUN, MAP3K6, MAP3K8, MAPK13, NOS2, PLS1, PRKAG2, PRKAR2B, RASD1, RRAS, SPTB, TNFRSF1A, TUBA8, TUBB3, TUBB6	no direction
CXCR4 Signaling	1.62	1.807	0.142	ADCY2, CXCL12, EGR1, FOS, GNA12, GNA14, GNA15, GNAT1, JUN, MYL12A, MYL12B, MYL4, PAK1, PIK3R1, PIK3R5, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
Retinoate Biosynthesis I	1.62	1.134	0.219	ADH4, AKR1B10, AKR1C4, ALDH1A3, DHRS9, RDH11, SDR16C5	positive
Proline Degradation	1.62	0	0.667	ALDH4A1, PRODH2	no direction
Ceramide Signaling	1.61	1.732	0.163	CTSD, FOS, JUN, NFKB2, NGFR, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, S1PR1, SMPD3, TNFRSF1A	positive
Androgen Biosynthesis	1.59	-1	0.308	AKR1C4, CYP17A1, HSD3B1, HSD3B7	negative
Methylglyoxal Degradation III	1.59	-0.447	0.263	ADH4, AKR1B10, Akr1b7, CYP2E1, ZADH2	negative
Complement System	1.55	0	0.212	C5AR1, C6, C8G, ITGAM, ITGB2, MASP2, SERPING1	no direction
TNFR1 Signaling	1.54	2.121	0.188	BIRC3, FOS, IKBKE, JUN, NFKB2, NFKBIA, PAK1, TNFAIP3, TNFRSF1A	positive
Histidine Degradation III	1.52	0	0.375	MTHFD1L, MTHFD2, UROC1	no direction
CD40 Signaling	1.52	1.508	0.172	FOS, ICAM1, IKBKE, JAK3, JUN, MAPK13, NFKB2, NFKBIA, PIK3R1, PIK3R5, TNFAIP3	positive
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.52	0	0.152	C8G, CCL20, CLCF1, CTSG, CXCL3, ELANE, FGF1, IL1B, IL36G, LCN2, LIF, MMP2, MMP8, MPO, PRTN3, TNFSF14	no direction
TR/RXR Activation	1.52	0	0.163	BCL3, FASN, HP, LDLR, PFKP, PIK3R1, PIK3R5, SLC16A2, SLC16A3, SREBF1, SREBF2, SYT12, THRB	no direction
Glutamate Receptor Signaling	1.52	0	0.179	GLUL, GRIA2, GRIA3, GRID1, GRIN3B, GRINA, HOMER2, SLC17A2, SLC17A8, SLC1A2	no direction
Semaphorin Signaling in Neurons	1.52	0	0.179	DPYSL4, DPYSL5, FES, PAK1, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2	no direction
Thrombin Signaling	1.51	1.698	0.134	ADCY2, ARHGEF5, ARHGEF9, EGFR, F2RL2, GATA1, GNA12, GNA14, GNA15, GNAT1, MAPK13, MYL12A, MYL12B, MYL4, MYLK, NFKB2, NOTUM, PIK3R1, PIK3R5, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
Semaphorin Neuronal Repulsive Signaling Pathway	1.48	1.147	0.144	DPYSL4, DPYSL5, FES, ITGA3, ITGA6, ITGB2, MAPT, MYL12A, MYL12B, MYL4, PAK1, Pde4d, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RRAS, SEMA6B, VCAN	positive
LPS-stimulated MAPK Signaling	1.48	2.714	0.16	CD14, FOS, IKBKE, JUN, LBP, MAPK13, NFKB2, NFKBIA, PAK1, PIK3R1, PIK3R5, RASD1, RRAS	positive
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.44	0	0.159	CD79B, CD86, FAS, FCER1G, HLA-A, IL1B, IL1RN, IL36G, NFKB2, PRTN3, RELB, Tlr13, TLR2	no direction
Communication between Innate and Adaptive Immune Cells	1.43	0	0.162	CCL3L3, CD79B, CD83, CD86, CXCL10, FCER1G, HLA-A, IL1B, IL1RN, IL36G, Tlr13, TLR2	no direction
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.39	2.496	0.152	ARPC1B, DGKB, FCGR1A, FCGR2A, FGR, HCK, HMOX1, NCF1, PAK1, PIK3R1, PLD3, Pld6, RAC2, TLN2	positive
ILK Signaling	1.39	1.147	0.133	FLNA, FOS, ITGB2, JUN, KRT18, LIMS2, MYH10, MYL4, NFKB2, NOS2, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, PROK1, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, SNAI2, TNFRSF1A, VIM	positive
Gαq Signaling	1.39	1	0.137	ADRA1B, EPM2A, GNA14, GNA15, HMOX1, IKBKE, NFKB2, NFKBIA, PIK3R1, PIK3R5, PLD3, Pld6, RAC2, RGS16, RGS18, RGS2, RHOBTB1, RHOC, RHOU, RHOV, RND2	positive
T Helper Cell Differentiation	1.39	0	0.164	CD86, FCER1G, HLA-A, ICOSLG/LOC102723996, IL18R1, IL6R, NGFR, RORC, STAT4, STAT6, TNFRSF1A	no direction
Germ Cell-Sertoli Cell Junction Signaling	1.38	0	0.136	GSN, ITGA3, ITGA6, MAP3K6, MAP3K8, PAK1, PIK3R1, PIK3R5, PLS1, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, TNFRSF1A, TUBA8, TUBB3, TUBB6, ZYX	no direction
Citrulline Biosynthesis	1.37	0	0.333	ALDH18A1, ARG2, PRODH2	no direction
Folate Transformations I	1.37	0	0.333	MTHFD1L, MTHFD2, SHMT1	no direction
Glucocorticoid Biosynthesis	1.37	0	0.333	CYP17A1, HSD3B1, HSD3B7	no direction
Ketolysis	1.37	0	0.333	ACAT1, ACAT2, BDH1	no direction
Leucine Degradation I	1.37	0	0.333	AUH, MCCC1, MCCC2	no direction
Histamine Degradation	1.37	0	0.267	ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1	no direction
Superpathway of Citrulline Metabolism	1.37	1	0.267	ALDH18A1, ARG2, NOS2, PRODH2	positive
RAR Activation	1.36	0	0.132	ADCY2, ADH4, AKR1B10, AKR1C4, ALDH1A3, CSF2RB, DHRS9, DUSP1, FOS, IGFBP3, IL3RA, JUN, MAPK13, NFKB2, PIK3R1, PRKAG2, PRKAR2B, RARB, RDH11, RELB, SDR16C5, STAT5A, STAT5B, TNIP1, ZBTB16	no direction
Growth Hormone Signaling	1.35	-1.667	0.162	FOS, GHR, IGF1, IGFALS, IGFBP3, PIK3R1, PIK3R5, SLC2A4, SOCS3, STAT5A, STAT5B	negative
IL-23 Signaling Pathway	1.35	0	0.182	IL1B, NFKB2, NFKBIA, PIK3R1, PIK3R5, RORC, SOCS3, STAT4	no direction
Reelin Signaling in Neurons	1.35	1.213	0.143	ARHGEF5, ARHGEF9, ARPC1B, BLK, DAB1, FGR, GRIN3B, GRINA, HCK, ITGA3, LRP8, MAPT, PDK3, PDK4, PIK3R1, PIK3R5, RELN	positive
Acetate Conversion to Acetyl-CoA	1.35	0	0.5	ACSL1, ACSS3	no direction
Arginine Degradation I (Arginase Pathway)	1.35	0	0.5	ALDH4A1, ARG2	no direction
Eumelanin Biosynthesis	1.35	0	0.5	DCT, MIF	no direction
Melatonin Degradation II	1.35	0	0.5	MAOB, SMOX	no direction
Methylmalonyl Pathway	1.35	0	0.5	MMUT, PCCA	no direction
Pentose Phosphate Pathway (Oxidative Branch)	1.35	0	0.5	G6PD, PGD	no direction
Proline Biosynthesis I	1.35	0	0.5	ALDH18A1, PYCR1	no direction
Spermine and Spermidine Degradation I	1.35	0	0.5	PAOX, SMOX	no direction
Trans, trans-farnesyl Diphosphate Biosynthesis	1.35	0	0.5	FDPS, IDI1	no direction
Sphingosine-1-phosphate Signaling	1.33	0	0.144	ADCY2, CASP4, CASQ1, GNA12, NOTUM, PDGFA, PIK3R1, PIK3R5, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, S1PR1, SMPD3	no direction
AMPK Signaling	1.33	-0.688	0.129	ACACB, ADRA1B, AK2, AK7, CHRNA4, CPT1B, CPT1C, CPT2, EPM2A, FASN, FOXO3, HMGCR, MAPK13, PCK2, PFKFB4, PFKP, PIK3R1, PIK3R5, PPM1H, PPM1K, PPM1M, PPP2R2B, PPP2R5B, PRKAA2, PRKAG2, PRKAR2B, SLC2A4	negative
Crosstalk between Dendritic Cells and Natural Killer Cells	1.31	1.414	0.159	CD83, CD86, CSF2RB, FAS, HLA-A, IL15RA, IL3RA, NFKB2, TLN2, TREM2, TYROBP	positive
Cardiac Hypertrophy Signaling (Enhanced)	1.31	1.571	0.115	ACE, ACVR1B, ADCY2, ADRA1B, CLCF1, CSF2RB, CTF1, CXCR2, CYBB, FGF1, FGFRL1, FZD1, FZD8, GDPD1, GHR, GNA12, GNA14, GNA15, HDAC11, IFNLR1, IGF1, IKBKE, IL15RA, IL17RB, IL18R1, IL18RAP, IL1B, IL1R2, IL36G, IL3RA, IL6R, ITGA3, ITGA6, ITGB2, JUN, LIF, MAP3K6, MAP3K8, MAPK13, MAPKAPK3, NFKB2, NGFR, NOTUM, PDE6H, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS, SMPDL3B, TNFRSF1A, TNFSF14, WNT2, WNT5A	positive
Adrenomedullin signaling pathway	1.3	2.711	0.13	ADCY2, ADM, BAX, CEBPB, FOS, GNA14, GNA15, GUCY2C, IL1B, IL1RN, IL36G, KCNN4, MAPK13, MMP2, MYLK, NFKB2, NOTUM, NPR3, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RASD1, RRAS, SHC2	positive
Isoleucine Degradation I	1.28	-1	0.25	ACADSB, ACAT1, ACAT2, AUH	negative
Cardiac Hypertrophy Signaling	1.28	1.633	0.126	ADCY2, ADRA1B, GNA12, GNA14, GNA15, GNAT1, IGF1, IL6R, JUN, MAP3K6, MAP3K8, MAPK13, MAPKAPK3, MYL12A, MYL12B, MYL4, NOTUM, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
IL-3 Signaling	1.28	1.508	0.154	CSF2RB, FOS, IL3RA, JUN, PAK1, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B, STAT6	positive
RANK Signaling in Osteoclasts	1.27	2.309	0.149	BIRC3, FOS, GSN, IKBKE, JUN, MAP3K6, MAP3K8, MAPK13, NFKB2, NFKBIA, PIK3R1, PIK3R5, TNFRSF11A	positive
Coronavirus Replication Pathway	1.26	1.134	0.184	ACE, Ifitm1, Ifitm6, TMPRSS2, TUBA8, TUBB3, TUBB6	positive
Graft-versus-Host Disease Signaling	1.26	0	0.184	CD86, FAS, FCER1G, HLA-A, IL1B, IL1RN, IL36G	no direction
Type II Diabetes Mellitus Signaling	1.26	1.155	0.136	ACSL1, ACSL4, CACNA1B, CACNB2, CACNB4, CEBPB, IKBKE, NFKB2, NFKBIA, NGFR, PIK3R1, PIK3R5, PKM, PRKAA2, PRKAG2, SLC2A4, SMPD3, SOCS3, TNFRSF1A	positive
FAT10 Cancer Signaling Pathway	1.25	0.707	0.174	ACVR1B, IKBKE, MAD2L2, NFKB2, NFKBIA, NGFR, TNFRSF1A, UBD	positive
Glycine Betaine Degradation	1.24	0	0.3	PIPOX, SARDH, SHMT1	no direction
Pentose Phosphate Pathway	1.24	0	0.3	G6PD, PGD, TKT	no direction
ERK5 Signaling	1.23	1.265	0.155	CTF1, EGFR, FOS, FOXO3, GNA12, LIF, MAP3K8, NGF, RASD1, RRAS, YWHAZ	positive
4-1BB Signaling in T Lymphocytes	1.22	2.236	0.194	IKBKE, JUN, MAPK13, NFKB2, NFKBIA, TNFRSF9	positive
Unfolded protein response	1.21	1.414	0.164	CEBPB, CEBPD, CEBPE, Hspa1b, INSIG1, PPP1R15A, SEL1L, SREBF1, SREBF2	positive
Dermatan Sulfate Biosynthesis (Late Stages)	1.2	-1.134	0.179	CHST11, CHST12, CHST3, SULT1B1, SULT1C2, Sult1d1, SULT2A1	negative
PEDF Signaling	1.18	1.265	0.148	ARHGAP22, FAS, IKBKE, MAPK13, NFKB2, NFKBIA, NGF, PIK3R1, PIK3R5, PNPLA2, RASD1, RRAS	positive
14-3-3-mediated Signaling	1.18	1.508	0.136	BAX, FOS, GFAP, JUN, MAPT, NOTUM, PIK3R1, PIK3R5, RASD1, RRAS, SNCA, TNFRSF1A, TUBA8, TUBB3, TUBB6, VIM, YWHAZ	positive
Fatty Acid β-oxidation I	1.17	-1.633	0.188	Acaa1b, ACSL1, ACSL4, AUH, HADH, SCP2	negative
Role of JAK2 in Hormone-like Cytokine Signaling	1.17	0	0.188	EPOR, GHR, PRLR, SOCS3, STAT5A, STAT5B	no direction
SPINK1 General Cancer Pathway	1.17	0.707	0.161	EGFR, IL6R, JAK3, Mt1, PIK3R1, PIK3R5, RASD1, RRAS, SPINK1	positive
Erythropoietin Signaling	1.17	0.218	0.13	BIRC3, CLCF1, CSF2RB, EPOR, FOS, FOXO3, GATA1, IL1B, IL36G, JUN, LIF, NFKB2, NFKBIA, PIK3R1, PIK3R5, RAC2, RASD1, RRAS, STAT5A, STAT5B, TNFSF14	positive
Tight Junction Signaling	1.17	0	0.13	CLDN1, CLDN12, Cldn13, CLDN15, CLDN2, CLDN23, CLDN4, CLDN7, F2RL2, FOS, JUN, MYH10, MYL4, MYLK, NFKB2, NGFR, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, TNFRSF1A	no direction
MIF Regulation of Innate Immunity	1.16	2.646	0.175	CD14, FOS, JUN, MIF, NFKB2, NFKBIA, NOS2	positive
PTEN Signaling	1.16	-1.069	0.133	EGFR, FOXO3, GHR, IKBKE, INPP5J, ITGA3, ITGA6, ITGB2, MAGIX, NFKB2, NGFR, NTRK2, PIK3R1, PIK3R5, RAC2, RASD1, RRAS, TNFRSF11A	negative
Myc Mediated Apoptosis Signaling	1.16	-0.707	0.167	BAX, FAS, IKBKE, NFKB2, NGFR, PRKAG2, PRKAR2B, TNFRSF1A	negative
IL-15 Signaling	1.16	0.905	0.151	IL15RA, JAK3, MAPK13, NFKB2, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B, STAT6	positive
2-oxobutanoate Degradation I	1.15	0	0.4	MMUT, PCCA	no direction
Folate Polyglutamylation	1.15	0	0.4	MTHFD1L, SHMT1	no direction
Myo-inositol Biosynthesis	1.15	0	0.4	IMPA1, ISYNA1	no direction
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.15	0	0.4	ADA, PGM2	no direction
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	1.15	0	0.4	MTHFD1L, MTHFD2	no direction
α-tocopherol Degradation	1.15	0	0.4	CYP4F2, CYP4F8	no direction
Oleate Biosynthesis II (Animals)	1.14	0	0.273	ALDH6A1, PTPRT, Scd2	no direction
Angiopoietin Signaling	1.13	-0.707	0.149	IKBKE, NFKB2, NFKBIA, PAK1, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B, TNIP1	negative
BEX2 Signaling Pathway	1.13	-0.302	0.149	JUN, LGALS1, LMO2, MMP2, NFKB2, NFKBIA, NGF, NGFR, PPP2R2B, PPP2R5B, PROK1	negative
Role of PKR in Interferon Induction and Antiviral Response	1.13	1.941	0.138	ATF3, BAX, FAS, FCGR1A, FOS, Hspa1b, IKBKE, IL1B, JUN, MAPK13, MARCO, NFKB2, NFKBIA, PDGFA, TNFRSF1A	positive
G-Protein Coupled Receptor Signaling	1.12	0	0.119	ADCY2, ADRA1B, APLNR, CXCR2, DUSP1, DUSP9, FPR2, GDPD1, GNA14, GNA15, HCAR2, IKBKE, LTB4R, MAP3K8, NFKB2, NFKBIA, NPR3, PDE6H, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PTGIR, RAPGEF4, RASD1, RGS16, RGS18, RGS2, RRAS, S1PR1, SMPDL3B, VIPR1	no direction
Chondroitin Sulfate Biosynthesis (Late Stages)	1.11	-1.134	0.171	CHST11, CHST12, CHST3, SULT1B1, SULT1C2, Sult1d1, SULT2A1	negative
CREB Signaling in Neurons	1.11	0.911	0.11	ACKR4, ADCY2, ADGRA3, ADGRF1, ADGRG2, ADRA1B, APLNR, C5AR1, CACNA1B, CACNB2, CACNB4, CCR1, CCR2, CCRL2, CELSR1, CMKLR1, CX3CR1, CXCR6, EGFR, F2RL1, F2RL2, FPR2, FZD1, FZD8, GHR, GNA12, GNA14, GNA15, GNAT1, GPR12, GPR155, GPR35, GPR39, GPR55, GPR84, GPRC5A, GRIA2, GRIA3, GRID1, HCAR2, IGF1, LPAR3, LTB4R, MAS1, NGFR, NOTUM, NTRK2, P2RY2, P2RY4, P2RY6, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PTGIR, RASD1, RRAS, S1PR1, SLC52A2, SSTR2, SUCNR1, TNFRSF11A, VIPR1	positive
Relaxin Signaling	1.11	1.155	0.13	ADCY2, FOS, GDPD1, GNA12, GNA14, GNA15, GNAT1, GUCY2C, JUN, NFKB2, NFKBIA, NOS2, NPR3, PDE6H, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, SMPDL3B	positive
Fatty Acid α-oxidation	1.11	0	0.222	ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1	no direction
Chondroitin Sulfate Biosynthesis	1.11	-1.414	0.163	CHST11, CHST12, CHST3, SULT1B1, SULT1C2, Sult1d1, SULT2A1, XYLT2	negative
Senescence Pathway	1.09	3.413	0.119	ACVR1B, ATF3, CAPN1, CAPN5, CAT, CBX2, CDC25A, CDKN2B, CEBPB, DHCR24, ELF3, FOXO3, GADD45B, IKBKE, JUN, MAPKAPK3, NFKB2, PDK3, PDK4, PIK3R1, PIK3R5, PPP2R2B, PPP2R5B, RASD1, RRAS, SAA1, SAA2-SAA4, Saa3, SERPINE1, STING1, TLR2	positive
Type I Diabetes Mellitus Signaling	1.08	0.905	0.137	CD86, FAS, FCER1G, HLA-A, IKBKE, IL1B, IL1RAP, MAPK13, NFKB2, NFKBIA, NGFR, NOS2, SOCS3, TNFRSF1A	positive
Role of IL-17A in Arthritis	1.07	0	0.16	CCL20, CXCL3, MAPK13, NFKB2, NFKBIA, NOS2, PIK3R1, PIK3R5	no direction
GNRH Signaling	1.06	2.183	0.126	ADCY2, CACNA1B, CACNB2, CACNB4, EGFR, EGR1, FOS, GNA14, GNA15, HBEGF, JUN, MAP3K6, MAP3K8, MAPK13, MMP2, NFKB2, PAK1, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Endocannabinoid Cancer Inhibition Pathway	1.06	0.728	0.129	ADCY2, ATF3, CASP4, CASQ1, GPR55, MMP2, NOS2, NUPR1, PIK3R1, PIK3R5, PRKAA2, PRKAG2, PRKAR2B, PROK1, SMPD3, SNAI2, TRIB3, VIM	positive
Oncostatin M Signaling	1.06	0.816	0.167	CHI3L1, JAK3, OSMR, RASD1, RRAS, STAT5A, STAT5B	positive
