analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	mir-223	0.246	microrna	0	1.713	0	0.098	1.113	1.96e-12	AMPD3, ASPRV1, C15orf48, C5AR1, Cd33, Clec2d (includes others), CLEC4E, CTSG, EGR2, ELANE, FOXO3, Gstm3, GSTM5, IFI16, Ifitm6, IGF1, IL1B, IL1RN, INPP5J, Ly6a (includes others), MLKL, MMP8, MYO1D, NLRP3, PGAP1, PRTN3, RAB38, RASGRP4, RIPK3, S100A6, S100A9, Serpina3g (includes others), SGPL1, SLC2A4, SLC40A1, Stfa2/Stfa2l1, Stfa3, Tlr13
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADRB	0	group	Inhibited	-3.893	0	-0.13	-3.091	1.12e-11	AACS, ACAT2, ADAMTS4, ANGPTL4, ANKRD1, ANXA5, ATF3, BAX, CASP4, CAVIN2, Ccl2, CD68, CLEC4D, CXCL10, CXCL2, CYP51A1, ENDOD1, FAS, FDPS, GDF15, HMGCS1, HMOX1, HSD17B7, HSD3B7, ICAM1, INSIG1, KLF4, LPIN1, LSS, MSMO1, MVD, NSDHL, OASL, RSAD2, SLC40A1, SLC6A9, SRXN1, Stfa3
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR1H2	0.128	ligand-dependent nuclear receptor	0	-1.123	0	-0.017	-1.039	1.27e-11	ABCA1, ABCG5, ABCG8, Ccl2, Ccl7, CIDEA, CXCL10, CXCL2, ELOVL6, FASN, FDFT1, FDPS, HMGCR, HSD11B1, IL1B, IL1RN, LDLR, LRP8, NFKBIA, NOS2, PLTP, PNPLA2, Saa3, SLC16A10, SLC16A2, SLC2A4, SREBF1, SREBF2, SULT2A1, THRB, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	NCOA2	-0.105	transcription regulator	0	0.256	0	0.137	-0.538	1.64e-11	ACOT1, ADH4, APOA4, Ccl2, CCL3L3, CXCL10, CYP17A1, Cyp2c40 (includes others), CYP51A1, ELOVL6, FABP4, FASN, FST, HCAR2, HLA-A, HMGCR, HMGCS1, IDI1, Ifitm1, IL1B, KHK, KLF4, LDLR, LECT2, LPIN1, LYZ, NSDHL, OASL, PLTP, PPP1R3B, PPP1R3C, SREBF1, Sult2a2, TPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RPTOR	-0.096	other	Activated	3.005	0	0.158	2.123	2.48e-11	Ccl2, CD207, CD86, CYP51A1, DHCR24, DHCR7, FCGR1A, FDFT1, FDPS, GPI, HMGCR, HMGCS1, HSD17B7, IDI1, IL1B, ITGAM, JUN, LSS, MSMO1, MVD, MVK, NLRP3, NOS2, NSDHL, PKM, PMVK, SLC2A4, SPI1, SQLE, SREBF1, SREBF2, TPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MYD88	0.369	other	Activated	6.235	0	0.232	4.587	2.74e-11	ACOD1, ACSL1, BATF, BCL3, CASP4, Ccl2, CCL3L3, CCRL2, CD14, CD86, CEBPD, CXCL10, CXCL2, CXCL3, DUSP1, EGR1, FCER1G, FPR2, GDF15, HDC, HLA-A, HP, ICAM1, IGF1, IGFBP5, IKBKE, IL1B, IL1RN, MAFF, MARCO, MEFV, MMP2, MMP8, Ms4a4c (includes others), NFKB2, NFKBIA, NFKBIZ, NLRP3, NOS2, OASL, RELB, RSAD2, S100A8, SAA1, Saa3, SERPINE1, SLC16A3, SLC7A2, SLCO3A1, SOCS3, TIMP1, TLR2, TNFAIP3, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ATP7B	-0.388	transporter	Activated	2.524	0	0.027	2.405	4.95e-11	AACS, ACLY, CP, Cyp2c40 (includes others), CYP51A1, ELOVL6, FASN, FDFT1, FDPS, HMGCR, HMGCS1, IDI1, LDLR, LPIN1, LSS, MSMO1, Mt1, PPARA, SQLE, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	RIPK2	0.279	kinase	Activated	2.836	0	0.156	2.06	5.64e-11	ABCA1, ABCG5, ACOD1, ACSL1, Ccl2, CD86, CLEC4E, CLEC5A, CXCL10, CXCL2, CXCL3, DGAT2, FASN, GPR84, HMGCR, ICAM1, LDLR, MEFV, NFKB2, NOS2, PNPLA2, PPARA, RALGDS, SELE, SLC2A6, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NCSTN	0.034	peptidase	Inhibited	-4.185	0	-0.18	-3.432	6.94e-11	CD14, CD68, CEBPB, CEBPD, CSF2RB, CTSG, EGFR, ELANE, FCER1G, FCGR2A, GFI1B, ITGA2B, Ly6a (includes others), MPO, NCF1, NCF4, SPI1, TREM3
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR1H3	-0.008	ligand-dependent nuclear receptor	0	-0.453	0	0.005	-0.482	7.02e-11	ABCA1, ABCG5, ABCG8, ARG2, ATF3, CAT, Ccl2, CCL3L3, Ccl7, CCR1, CCR2, CD5L, CD68, CIDEA, CLEC4E, CX3CL1, CX3CR1, CXCL10, CXCL2, DHRS9, FASN, FCGR1A, FDFT1, FDPS, FPR2, GNGT2, GPX3, GSTM5, GSTP1, HMGCR, HSD11B1, IL1B, IL1RN, ITGAM, LDLR, LYZ, MFGE8, MIF, Mt1, NFKBIA, NOS2, PLTP, SLC16A10, SLC16A2, SLC2A4, SREBF1, SREBF2, THRB, TNFRSF9, VCAN, VIPR1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR3	0.061	transmembrane receptor	Activated	4.358	0	0.218	2.956	7.2e-11	ABCA1, ACOD1, ADAMTS4, Apol7e (includes others), ARG2, ATF3, BCAR3, Ccl2, CCL3L3, Ccl7, CSRP3, CXCL10, CXCL2, CXCL3, DUSP1, FAS, GADD45B, HMOX1, ICAM1, IER3, IFI16, IL1B, JUNB, LCN2, LILRB4, NFKBIZ, NOS2, NR4A1, OASL, PROCR, RARB, RGS1, RSAD2, S100A8, Saa3, SERPINE1, SOCS3, Stfa2/Stfa2l1, Stfa3, TIMP1, TNFAIP8L2, TNFRSF1A, TREML2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZMPSTE24	-0.006	peptidase	Inhibited	-2.544	0	-0.129	-1.98	8.63e-11	ATF3, BTG2, Ccl6, Cmah, CXCL2, CXCL3, CXCR2, FGL1, FMO2, GADD45B, GHR, ICAM1, IGF1, IGFALS, IGFBP1, IGFBP3, IGFBP5, LMNA, RGS16, SOCS3, STAT5B
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPARG	0.211	ligand-dependent nuclear receptor	0	0.356	0	0.076	-0.182	1.09e-10	ABCA1, Acaa1b, ACOD1, ACSL4, ANGPTL4, AQP7, ARL4D, ATP4A, BDH1, Bex1, CAT, CAVIN2, Ccl2, Cdkn1c, CES1, CIDEA, CIDEC, CPT1B, CPT2, CXCL2, CXCL3, ELOVL6, ENO2, EPHX1, FABP4, FASN, FDPS, FGF1, FZD1, Gm12854/S100a11, HCAR2, HMGCS2, HP, HSD3B7, ICAM1, IGF1, IL1B, IL36G, JUN, KLF6, LDLR, MGLL, MVD, NOS2, NR4A1, OLR1, PCTP, PDK4, PID1, PMVK, PPARA, PPP2R2B, RORC, S100A8, SAA1, SCP2, SELE, SERPINA1, SERPINE1, SHISA5, SLC2A4, SPRR1A, SREBF1, TBC1D2, TKT, TLCD3B, TRIB3, TSC22D3, VIM, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HNF4A	0.02	transcription regulator	0	0.789	0	0.027	0.596	1.24e-10	1810053B23Rik, ABCD2, Acnat1/Acnat2, ACOT1, Acot1, ACOX2, Akr1b7, AQP8, ASNS, BAAT, BDH1, C6, CAT, CDHR2, Cdkn1c, CIDEC, CLDN1, CLDN12, CLDN2, CP, CXADR, Cyp2b13/Cyp2b9, CYP2E1, CYP3A7, DISP2, EGR1, F13B, FABP2, FMO1, FMO2, FOXA2, GADD45B, GSN, HAO2, HBEGF, HLA-A, HPX, IMPA1, KRT8, LEPR, LTF, MAOB, MPZL2, Mt1, NTRK2, PERP, PKM, PPARA, PRODH2, PROM1, PYGO1, RNF152, RSAD2, S100G, SBNO2, SCP2, SDC1, SDR16C5, SELP, SERPINA1, SLC31A1, Sult2a2, SYBU, SYNPO, Timd2, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	DYSF	0.049	other	0	0	0	0	0	1.92e-10	ABCA1, ACOT9, ANKRD1, ANXA1, ANXA2, Ccl7, Cd52, CD53, CD68, CD83, Ctla2a/Ctla2b, CXCL10, CYBA, FTL, HLA-A, IFI16, LCP1, LGALS3, LILRB4, LYZ, MMP12, MPEG1, MYL4, S100A4, SERPINA3, TCEAL9, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNFRSF1A	0.413	transmembrane receptor	Activated	2.051	0	0.041	1.831	2.91e-10	ABCC3, ABCG4, Ccl2, CCL20, CCL3L3, CD68, CXCL10, CXCL2, CXCL3, GFAP, GHR, ICAM1, IER3, IL1B, JUN, LBP, LCN2, LMO2, MMP2, MPO, Ngp, PDGFA, PIM1, RORC, SAA1, Saa3, SELE, SELL, SELP, SERPINE1, Slco1a4, SOCS3, TMCC2, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	IRAK4	0.256	kinase	0	1.488	0	0.105	1.261	3.56e-10	ATF3, BIRC3, BTG2, Ccl2, CCL20, CD86, CSRNP1, CXCL10, CXCL2, CXCL3, EGR1, FOS, FOSB, IL1B, JUN, LIF, MAP3K8, NFKBIA, NFKBIZ, NOS2, NR4A1, PLSCR1, RGS16, TNFAIP3, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	PPARGC1A	0.217	transcription regulator	0	-1.741	0	0.04	-1.997	4.06e-10	ACACB, ACAT1, ANG, APOA4, BDH1, CAT, Ccl7, CD68, CEBPB, CEBPD, CIDEA, COL6A2, CPT1B, CXCL10, DCN, EGFR, EMILIN2, FABP4, FASN, FDPS, GDF15, Gk, HMOX1, INPP5J, KYAT1, LDHB, LPIN1, MMP15, MMP19, MMP2, MSMO1, NSDHL, OLR1, PDIA5, PDK4, PIK3R1, PLA2G7, PPARA, Saa3, SERPINA3, SLC2A4, SLIT3, SOCS3, SREBF1, TIMP1, TRIB3, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	AR	0.113	ligand-dependent nuclear receptor	Activated	2.126	0	0.117	1.412	4.3e-10	ADM, Akr1c19, AQP8, ATP4A, Btnl10, CADM3, Ccl2, CCL3L3, Cdkn1c, Ces1e, CSRP3, CYP17A1, DES, DISP2, EHD3, EMB, EPHX1, ESPN, FABP7, FKBP5, GATA1, GSN, HOPX, HSD3B1, IGF1, INSL3, KCNJ2, KRT14, LAMA5, MMP2, PDGFA, PLAT, PLTP, RARRES1, RGN, Rhox5, SERPINA3, SERPINA5, SLC22A4, SLC2A3, SLC38A5, SLC39A8, SLCO3A1, SPINK1, TMEM176A, TMEM176B, TSPAN8, TUBB3, VIM, WT1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	ID2	0.159	transcription regulator	0	1.036	0	-0.025	1.175	4.9e-10	ADM, BATF, BCL3, BTG2, CCR1, CD83, Cdkn1c, CEBPB, CSF2RB, CXCR6, DUSP1, DUSP10, EGR2, FCER1G, FOXO3, GADD45B, HOMER2, ICAM1, ICOSLG/LOC102723996, IL17RB, IL6R, IRF6, JDP2, KLF6, LEPR, LGALS1, LMO2, MMP2, NR4A1, OLFM4, PAWR, PDGFA, PIK3R1, PIK3R5, PROM1, RAPGEF4, RELB, SDC1, SELL, SMOC2, SOCS3, SOX5, STAT4, TNFRSF1A, TNFSF14, TRAF4, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	ERK1/2	0	group	Activated	3.38	0	0.182	2.543	5.17e-10	ABCA1, AKR1B10, Ccl2, CCL3L3, CXCL3, CYBB, DAPK1, EGR1, FABP4, FOS, FZD1, IGFBP3, IL1B, JUN, JUNB, LEPR, MMP12, NAMPT, Nrg1, S100A6, Saa3, SERPINE1, SOCS3, TREM1, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	CD44	0.251	other	Activated	4.583	0	0.184	3.668	5.4e-10	ADAM8, BCAM, Ccl2, Ccl7, CCR2, CD63, CIDEA, CIDEC, CLEC5A, CLEC7A, CLU, COL5A2, CX3CL1, CX3CR1, CXADR, EMILIN1, FASN, FKBP5, IL1B, IL1R2, IL1RN, ITGA3, JUN, LGALS1, LGALS3, LIMS2, Ly6a (includes others), MMP12, MMP8, NFKB2, PLPP3, SELL, TNFRSF11A, WNT2, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	MFSD2A	0.301	transporter	Inhibited	-2.967	0	-0.235	-2.101	5.59e-10	ACSL4, ALDOC, CYP51A1, DHCR7, FASN, FDFT1, IDI1, INSIG1, LDLR, LSS, MVD, Scd2, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	LEP	0	growth factor	0	0.994	0	0.059	0.661	6.86e-10	ABCC3, ABCD3, ACLY, ADAM8, ANGPTL4, APOA4, BAX, Ccl2, CCL3L3, CD68, CPT1B, CROT, CXCL10, CYP17A1, Cyp2a12/Cyp2a22, Cyp2d9 (includes others), CYP2E1, Cyp2j5, ELOVL5, ELOVL6, ETFDH, FABP4, FAS, FASN, FOS, GCLC, GFAP, Gstm3, HMGCR, ICAM1, IGFBP3, IL1B, IL1R2, ITGAM, JUN, LCN2, LDLR, LEPR, MBP, MMP12, MMP19, MMP2, MSMO1, NOS2, PPARA, Saa3, Scd2, SCP2, SELE, SELP, SERPINE1, SOCS3, SREBF1, SREBF2, STEAP4, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	USP22	0.033	peptidase	Activated	4.123	bias	0.258	3.058	7.75e-10	Cd33, CHI3L1, CLEC5A, CSF2RA, CSF2RB, CSF3R, CYBB, FCGR2A, FES, IL3RA, ITGAM, ITGB2, NCF1, NCF2, NCF4, OLFM4, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZBTB20	-0.053	transcription regulator	Inhibited	-3.286	0	0.01	-3.333	9.73e-10	ADH4, AFP, Akr1b7, CYP1A2, Cyp2b13/Cyp2b9, CYP2B6, FASN, GHR, GSTM5, IGF1, IGFALS, IGFBP1, IGFBP2, LDHB, LEPR, NEDD9, NFKBIA, PDK4, SOCS3, UGDH, UGT2B17
ndr_vs_wt_all - 2020-11-20 05:39 PM	OGA	0.007	enzyme	0	0.889	0	0.056	0.517	1.51e-09	ACAD10, ACSL4, ADGRG2, ALDOC, ALOX5AP, CAVIN2, Ccl2, CCL20, CCL3L3, Ccl6, CCR1, CD14, Cd24a, CD53, CD68, CD86, Cdkn1c, CDKN2B, CEBPB, CSF2RB, CX3CR1, EGR2, FABP7, FAS, GALNT6, GSN, HK3, HPGD, HSD3B7, IGF1, IGFBP3, KRT25, LIF, MGLL, MICALL2, PIK3R1, Saa3, Scd2, SLC2A9, SLC33A1, SLFN12L, SOCS3, TNFRSF12A, ZMYND10
ndr_vs_wt_all - 2020-11-20 05:39 PM	ID3	0.077	transcription regulator	0	1.732	0	0.029	1.58	1.6e-09	ADM, BATF, BCL3, BTG2, CCR1, CD83, Cdkn1c, CEBPB, CSF2RB, CXCR6, DUSP1, DUSP10, EGR2, FCER1G, FOXO3, GADD45B, HOMER2, ICAM1, ICOSLG/LOC102723996, IL17RB, IL6R, IRF6, JDP2, KLF6, LEPR, LGALS1, LMO2, MMP2, NR4A1, PAWR, PIK3R1, PIK3R5, RAPGEF4, RELB, SDC1, SELL, SOCS3, SOX5, STAT4, TNFRSF1A, TNFSF14, TRAF4, ZBTB16
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZFP36	1.507	transcription regulator	Inhibited	-3.233	0	-0.224	-2.407	2e-09	ABCG4, CAMP, CCL3L3, CXCL2, CXCL3, CYBB, ICAM1, IER3, IL1B, LCN2, LMO2, LTF, MEFV, MPO, MXD1, Ngp, PIM1, S100A8, S100A9, SPRYD7, TMCC2, Wfdc21, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	AHR	-0.611	ligand-dependent nuclear receptor	0	-1.121	0	0.012	-1.203	2.05e-09	A4GALT, ARG2, ATP4A, B4GALT5, BTG2, CBR1, CD14, CDKN2B, CGREF1, COL5A2, CXCL10, CYP17A1, CYP1A2, CYP1B1, CYP2B6, DCLK3, DCN, DMXL2, EGR2, EMILIN1, EMILIN2, ENTPD1, ESR1, ESRRG, FABP4, FAS, FMO2, FOS, GSTM5, HP, IDO2, IGFBP1, IL1B, ITGA6, JUNB, LBP, MMD2, MMP2, Mt1, NFYB, NNMT, NPTX1, NT5E, Pcp4l1, PLAT, SAA1, Saa3, SDC1, SERPINA7, SERPINE1, SLC16A10, SLC17A2, SLC22A7, SNAI2, SOCS3, SREBF1, STEAP4, SYT12, TFF3, TK1, TUBA8, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	CEBPA	-0.229	transcription regulator	0	1.043	0	0.111	0.501	2.3e-09	ACLY, AKR1B10, APLNR, APOA4, ARG2, CEBPD, CSF3R, DGAT2, DHCR7, FABP4, FASN, FOXA2, FZD1, HMGCR, HSD11B1, IER3, IGFBP3, IL6R, ITGAM, JUN, LEPR, LTF, Ly6a (includes others), MPO, PPARA, PPP1R3C, PRLR, RGS2, SAA1, Saa3, SERPINE1, SLC2A4, SPRR1A, SREBF1, STEAP4, Sult2a2, THRB, TNFRSF10A, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNF	0.315	cytokine	Activated	5.049	0	0.141	4.056	2.38e-09	ABCA1, ABCC3, ACSL1, ADAM8, BIRC3, CASP4, Ccl2, CCL3L3, Ccl6, Ccl7, CEBPB, CEBPD, CLEC5A, COTL1, CXCL10, CXCL2, CXCL3, CYP17A1, DCN, EGR1, FABP4, FAS, FMO1, GBP6, HMOX1, ICAM1, ICOSLG/LOC102723996, IL1B, IL1RN, ITGAM, JUN, KRT18, KRT8, LCN2, LIF, MYLK, NFKBIA, NFKBIZ, NLRP3, NOS2, OSMR, S100A8, SAA1, Saa3, SELE, SELP, SERPINA3, SERPIND1, SERPINE1, SLC2A4, Slco1a4, SOCS3, STEAP4, TIMP1, TLR2, TNFAIP3, TNFRSF1A, TNFRSF9, TSC22D3, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL10	0.069	cytokine	Inhibited	-2.597	0	-0.105	-2.054	2.64e-09	ABCA1, ATP6V0A1, BCL3, Ccl2, CCL20, CCL3L3, Ccl6, Ccl7, CCR1, CCR2, CD14, Cd24a, CD63, CD68, CD86, CSF3R, CTSD, CTSE, CTSZ, CXCL10, CXCL2, CXCL3, GLA, GNGT2, GUSB, HCK, HMOX1, ICAM1, IFI30, Igtp, IL1B, IL1RN, ITGAM, LGMN, NOS2, NT5E, PAK1, SELL, SLC11A1, SOCS3, STX11, TLR2, TNFRSF1A, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	KRAS	0.017	enzyme	0	0	0	0	0	2.83e-09	ACLY, ADH4, ALDOC, AMPD3, BIRC3, Cd33, CEBPB, CHI3L1, CLEC5A, CRYZ, CSF2RA, CSF2RB, CSF3R, CYBB, FASN, FCGR2A, FES, GFAP, IL1B, IL3RA, ITGAM, ITGB2, ITIH1, JUN, Ly6a (includes others), MMP2, NCF1, NCF2, NCF4, NFKB2, NLRP3, NOS2, OLFM4, PECR, PKM, PSTPIP1, SPI1, SREBF1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HNF1A	-0.125	transcription regulator	0	0.089	0	0.242	-1.39	2.83e-09	Akr1c19, ANKS4B, ATP4A, BACH2, C8G, CDHR2, CLDN2, Cyp2j5, CYP3A7, DCT, FOXA2, GLUL, HAO1, HCAR2, HOPX, IGF1, IGFALS, IGFBP1, LDLR, MTMR11, PCSK9, PFKP, PKHD1, PRLR, RNASE4, RNF186, SERPINA1, SERPINA7, SGK2, SLC12A7, SLC40A1, SLC7A2, Slco1a4, SULT1C2, Sult1d1, TM4SF4, TMPRSS2, TPI1, TRPM2, TTR, UGT2B10, UGT2B7, VIL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	RUNX1	0.127	transcription regulator	0	1.131	0	-0.07	1.35	5.4e-09	ADD2, ANK1, BDH1, BLK, Cdkn1c, CDKN2B, Cldn13, CSF2RA, CSF2RB, CYB561, DEPTOR, EPB42, ERMAP, FAS, FHDC1, Gypa, HEMGN, IGFBP3, Igtp, IL1B, Irgm1, ITGA2B, ITGB2, LMO1, Ly6a (includes others), MAP3K6, PIK3R1, PLEK, RHAG, RSAD2, SLC4A1, SPI1, SPTB
ndr_vs_wt_all - 2020-11-20 05:39 PM	INSR	-0.176	kinase	0	0.788	0	0.188	-0.465	5.79e-09	ACOT2, ACSL1, ACSL4, ALDH6A1, ANKRD1, AREG, ATF3, CBR1, Ccl2, Ccl7, CD83, CPT1B, CPT2, CYP51A1, DECR1, DES, DGAT2, DHCR7, ETFDH, FABP4, FASN, FDFT1, FDPS, HMGCR, HMGCS1, IDI1, IGF1, IL1B, INSIG1, LCP1, LEPR, LGALS1, LSS, LYZ, MAOB, MMP12, MMP2, MPEG1, MSMO1, MVD, MVK, NAMPT, NFKB2, NR4A1, NSDHL, OLR1, PDK4, PECR, PHLDA2, PNPLA2, PPARA, SCP2, SERPINB1, SERPINE1, SLC2A4, SOCS3, SQLE, SREBF1, SREBF2, THAP12, TLR2, TNFRSF1A, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR4	0.088	transmembrane receptor	Activated	4.002	0	0.181	2.904	6.24e-09	ATF3, BATF, BAX, Ccl2, CCL3L3, Ccl7, CD14, CD86, CEBPD, CXCL10, CXCL2, CXCL3, CXCR2, FAS, GFAP, HBEGF, HDC, HMOX1, ICAM1, IFI16, Igtp, IL15RA, IL18BP, IL1B, Irgm1, ISG20, ITGAM, LILRB4, MARCO, NFKBIA, NFKBIZ, NLRP3, NOS2, OASL, ORMDL3, PLAT, PLEK, RELB, RGCC, RGS1, RGS16, RGS18, RSAD2, SELP, SGPL1, SLC2A4, SLCO3A1, SLFN12L, SMPDL3B, SOCS3, STAT5A, TLR2, TNFAIP3, TNFAIP8L2, TNFRSF10A, TREM1, TREM2, TREM3, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTEN	-0.18	phosphatase	0	-0.643	0	-0.026	-0.512	6.76e-09	ACSL1, AGBL3, ANXA1, ATF3, BACE2, BTG2, CA3, CADM3, Ccl2, CD86, CEBPB, CELSR1, CLDN1, CLDN12, CLDN23, COL5A2, CTNNBL1, CTSZ, CX3CR1, CXCL10, CXCL2, CXCR6, ELOVL6, ENTPD8, ESR1, FABP4, FAS, FASN, FDPS, FES, FNDC10, FOS, FOXA2, FOXO3, GPR12, HADH, HMGCR, HMGCS1, HSD17B7, IDI1, IGF1, IGFBP2, IL1B, INMT, LAMA3, LDHB, LDLR, LSS, MBP, MME, MMP2, MMP23B, NOS2, PECR, PERP, PIK3R1, PIM1, PPP2R2B, PRKAA2, PTPRT, RAB38, RAD51D, SDC1, SOCS3, SREBF1, SREBF2, SUCLG1, VIL1, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL4	0.013	cytokine	0	1.771	0	0.166	0.66	8.25e-09	ABCA1, ACOD1, ACOT9, ACSL1, ACSL4, AHR, AK2, ALDOC, ANXA2, ATP1A3, AUH, BCL3, CAPG, CAT, Ccl2, CCL3L3, Ccl7, Cd24a, CHST3, Cmah, COL6A2, CST7, Ctla2a/Ctla2b, CXCL10, CXCL3, EGR2, EPHX1, FASN, FCGR2A, FLNA, FOS, GLIPR2, GNA15, GSTT2/GSTT2B, HBEGF, HCK, HMGCR, HSD11B1, ICAM1, IER3, IFI30, IGF1, IL18R1, IL1B, IL1RN, JUN, KLF6, LGALS1, LGALS3, LGALSL, LIFR, MARCO, MMP12, MMP2, MVK, NEDD9, NFKBIA, NOS2, PFKP, PIM1, PLSCR1, PSTPIP1, Saa3, Scd2, Serpina3g (includes others), SERPINB6, SOCS3, SPRR1A, STAT4, STAT6, TLN2, TNFRSF11A, VARS1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL33	0.091	cytokine	Activated	3.909	0	0.192	2.922	8.65e-09	ARHGAP9, Ccl2, CCR1, CD53, CD86, CSF3R, CXCL2, FGR, FPR2, HCK, IL1B, IL1RN, MCEMP1, MMP12, NCF4, Ngp, NLRP3, NOS2, PIK3R5, RGS1, S100A8, S100A9, SELPLG, SLC26A4, SPI1, TIFAB, TYROBP
ndr_vs_wt_all - 2020-11-20 05:39 PM	CREB1	-0.031	transcription regulator	Activated	3.961	0	0.24	3.009	9.66e-09	ABCA1, ATF3, BTG2, CEBPB, CSRNP1, CYP51A1, EGR1, EGR2, ENTPD1, FOS, GADD45B, HMGCR, HMGCS1, IDI1, JUNB, KLF4, LDLR, LSS, MNS1, MSMO1, MVK, NPC2, NR4A1, PER1, PPP1R15A, SLC2A3
ndr_vs_wt_all - 2020-11-20 05:39 PM	HRH3	0	g-protein coupled receptor	Inhibited	-2.804	0	-0.029	-2.723	1.04e-08	Acot1, ACOT2, Aldh1a7, CLEC4D, CTSG, CXCL10, CXCL3, ELANE, FPR2, Mup1 (includes others), Ngp, NPR3, PRTN3, S100A8, S100A9, SERPINA3, SLPI, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	ELANE	1.512	peptidase	Activated	2.985	bias	0.258	2.214	1.07e-08	CCL3L3, CEBPD, CEBPE, CSF3R, CXCL2, ELANE, IL1B, MPO, SERPINA1, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	OSMR	1.018	transmembrane receptor	0	1.026	0	0.047	0.903	1.12e-08	BAX, BCL3, BIRC3, C15orf48, CASP4, Ccl2, CXCL10, CXCL2, FASN, FOS, Igtp, Irgm1, JUNB, LRG1, PIM1, SBNO2, Serpina3g (includes others), SOCS3, SREBF1, TIMP1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	N-cor	0	group	Inhibited	-2.197	bias	-0.258	-1.237	1.14e-08	ABCA1, ACACB, ACSL1, CCR1, CIDEC, CXCL2, ELOVL5, ELOVL6, FABP4, FASN, FZD1, G6PD, Gk, HBEGF, IGF1, IL1B, MMP12, MMP2, OLR1, PDGFA, PID1, RARB, Scd2, SHISA5, SLC2A4, SREBF1, TBC1D2
ndr_vs_wt_all - 2020-11-20 05:39 PM	BHLHE40	-0.051	transcription regulator	0	1.901	0	-0.021	2.018	1.28e-08	ALOX5, ANXA1, C15orf48, CCN4, CCR1, Cd24a, CD86, CD9, Cmah, CXCL3, EPHX1, FABP2, FASN, FRZB, HAVCR2, HILPDA, IFI16, Ifitm1, IL1R2, IL6R, IPCEF1, ITGA6, KRT18, KRT8, LTB4R, NLRP3, OLR1, PLAC8, SELL, SREBF1, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	JAK1	0.12	kinase	Activated	3.211	0	0.189	2.485	1.33e-08	BCL3, BMF, CAPN1, CCL3L3, CD14, CHI3L1, FOS, IL1B, LRG1, MAP3K8, Orm1 (includes others), OSMR, SAA1, SOCS3, TNFRSF21
ndr_vs_wt_all - 2020-11-20 05:39 PM	Nr1h	0	group	Inhibited	-2.352	0	-0.136	-1.612	1.61e-08	ABCA1, ACACB, ACLY, ARG2, BCL3, Ccl2, CCL3L3, CCR2, CD5L, CLEC4E, CXCL10, ELOVL6, FASN, FGF1, GGT5, HCK, ICOSLG/LOC102723996, IL1B, NFKB2, NFKBIZ, NLRP3, NOS2, PLTP, RGN, SBNO2, SELP, SLC2A4, Slfn1, SLFN12L, SREBF1, ZBTB16
